step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,B,reachability,0.575,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,17,23,0,0,0.16691752288677997,0.1363323920490882,0.6272793414086859,0.014464172452361089,4,4,0.1,0,0.0,0.0,25.9,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,7,23,0,0,0.1610748495975265,0.13563931730460949,0.54363650256378,0.013352490864488439,4,4,0.13333333333333333,0,0.0,0.0,24.533333333333335,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.18444554275454036,0.13836750657158628,0.6272793414086859,0.017389575241999564,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,20.0,0.23809523809523817,4.000000000000002,0.04761904761904766,60.0,0.7142857142857145,0.0,0.0,0.020044099315849658,0.06666666666666667,0.0,0,4,30,9,40,40,60,31,,,,,,,
2,B,all_agents,,,40,4,13,23,4,0,0.17387767093819662,0.1364088900181919,0.6241429447016424,0.014389388782217169,13,12,0.3,3,1.0,1.0,26.8,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,4,3,23,4,0,0.1701255101905881,0.13568829727248558,0.5618910424612289,0.013512582469069005,13,12,0.4,3,1.0,1.0,24.066666666666666,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.1851341531810221,0.14092574317569284,0.6241429447016424,0.016850863198350937,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.60000000000001,20.0,0.228310502283105,4.000000000000002,0.04566210045662102,60.0,0.684931506849315,0.0,0.0,0.02054656653594264,0.1,0.39473684210526333,3,6,23,7,40,40,60,29,3.0000000000000004,0.03424657534246576,0.6000000000000001,0.006849315068493151,15,3,
3,B,all_agents,,,40,7,11,22,7,0,0.18008792852489444,0.141130232263398,0.6210222299781343,0.01466402064669706,22,17,0.425,7,1.2857142857142858,1.2857142857142858,28.25,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,participants_only,,,30,7,1,22,7,0,0.17817922854038923,0.141130232263398,0.5794154007627798,0.014091831230463548,22,17,0.5666666666666667,7,1.2857142857142858,1.2857142857142858,24.333333333333332,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,nonparticipants_only,,,10,0,10,0,0,0,0.18581402847841,0.1402211144598144,0.6210222299781343,0.0163368712678274,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000001,19.5,0.22159090909090906,3.700000000000002,0.04204545454545456,60.0,0.6818181818181817,0.0,0.0,0.018395149462235836,0.08333333333333333,0.47058823529411786,4,5,20,8,39,37,60,30,3.0000000000000004,0.03409090909090909,1.7999999999999998,0.02045454545454545,15,9,
4,B,all_agents,,,40,9,11,20,9,0,0.1854453848938013,0.14464764619077716,0.6179171188282436,0.014983500120511629,38,25,0.625,20,1.8,1.35,30.125,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,participants_only,,,30,9,1,20,9,0,0.18509869951108548,0.14536816103517947,0.5962387847322685,0.014695461040226872,38,25,0.8333333333333334,20,1.8,1.35,25.166666666666668,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
