step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,D,reachability,0.825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,22,18,0,0,0.16173754682002892,0.14550260812443627,0.5866256306861962,0.010404199078216488,1,1,0.025,0,0.0,0.0,25.925,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,12,18,0,0,0.16019107343090547,0.14057546728271209,0.5866256306861962,0.010849599305829379,1,1,0.03333333333333333,0,0.0,0.0,24.566666666666666,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.16637696698739926,0.15192027374758837,0.3909319147402761,0.00903929943605861,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999999,20.0,0.23809523809523814,4.000000000000002,0.04761904761904765,0.0,0.0,60.0,0.7142857142857144,0.01732848489950364,0.016666666666666666,0.0,0,1,21,30,40,40,33,60,,,,,,,
2,D,all_agents,,,40,2,15,23,2,0,0.16770008030872616,0.15147840879940566,0.6031606054587484,0.01042752031715107,4,4,0.1,0,0.0,0.0,26.85,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,2,5,23,2,0,0.16788149352872092,0.1493159889497679,0.6031606054587484,0.011022923279745555,4,4,0.13333333333333333,0,0.0,0.0,24.133333333333333,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.16715584064874187,0.15320371492181212,0.3889772551665747,0.008640916500290946,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.80000000000001,20.0,0.2277904328018223,4.000000000000002,0.04555808656036448,0.0,0.0,60.0,0.6833712984054668,0.01773580113926154,0.05,0.0,0,3,21,21,40,40,33,60,3.600000000000001,0.041002277904328026,0.2,0.002277904328018223,18,1,
3,D,all_agents,,,40,5,12,23,5,0,0.1737278518766936,0.15502001467475596,0.6190341812403984,0.010598428123729896,8,6,0.15,0,0.0,0.0,28.225,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,participants_only,,,30,5,2,23,5,0,0.1756626296530558,0.1547839104664769,0.6190341812403984,0.011358497976966813,8,6,0.2,0,0.0,0.0,24.3,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,nonparticipants_only,,,10,0,10,0,0,0,0.16792351854760695,0.15506553740263393,0.38703236889074183,0.008273298183492279,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.9,20.0,0.22497187851518557,3.900000000000002,0.043869516310461217,0.0,0.0,60.0,0.6749156355455568,0.017677262179438737,0.06666666666666667,0.0,0,4,20,15,40,39,33,60,4.400000000000001,0.04949381327334084,0.6000000000000001,0.006749156355455569,22,3,
4,D,all_agents,,,40,5,12,23,5,0,0.17925019175393211,0.16049918532139007,0.6159390103341964,0.010581564298283403,12,9,0.225,0,0.0,0.0,29.65,114,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,participants_only,,,30,5,2,23,5,0,0.18277303151873048,0.16174395422605728,0.6159390103341964,0.01141586436427701,12,9,0.3,0,0.0,0.0,24.533333333333335,114,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,nonparticipants_only,,,10,0,10,0,0,0,0.16868167245953714,0.15692017798846966,0.38509720704628814,0.007929739300201247,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.80000000000003,20.0,0.2227171492204899,4.000000000000002,0.044543429844098,0.0,0.0,59.0,0.6570155902004452,0.01629842741332467,0.06779661016949153,0.0,0,4,30,7,40,40,38,59,5.600000000000002,0.0623608017817372,1.2,0.013363028953229394,28,6,18
5,D,all_agents,,,40,5,12,23,5,0,0.18384377556087123,0.16288986286710586,0.6128593152825255,0.010574751657019002,15,12,0.3,0,0.0,0.0,31.425,133,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,participants_only,,,30,5,2,23,5,0,0.18864819751661718,0.16439131823145733,0.6128593152825255,0.011470904386585228,15,12,0.4,0,0.0,0.0,25.233333333333334,133,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,nonparticipants_only,,,10,0,10,0,0,0,0.16943050969363344,0.159341903194554,0.3831717210110567,0.00760930382437408,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.50000000000003,20.0,0.22346368715083792,3.700000000000002,0.04134078212290504,0.0,0.0,58.0,0.6480446927374299,0.013886160621249373,0.05172413793103448,0.0,0,3,31,5,40,37,39,58,6.000000000000003,0.06703910614525141,1.7999999999999998,0.02011173184357541,30,9,26
6,D,all_agents,,,40,5,10,25,5,0,0.1887518340859136,0.16938301482670823,0.6283449426712244,0.010561290731874923,20,17,0.425,0,0.0,0.0,31.7,158,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,participants_only,,,30,5,0,25,5,0,0.19494524725637585,0.1710000195131729,0.6283449426712244,0.011493121673939519,20,17,0.5666666666666667,0,0.0,0.0,25.6,158,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.1701715945745268,0.1605342065692702,0.3812558624060014,0.00730549750528047,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
