step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.16105648690573163,0.14570079018103743,0.4593622559666761,0.008893700871597096,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.60000000000005,2.800000000000001,0.03349282296650717,20.0,0.2392344497607654,51.0,0.6100478468899517,0.0,0.0,0.015590386226738938,0.0392156862745098,0.0,0,2,5,32,28,40,51,39,6.200000000000003,0.0741626794258373,3.600000000000001,0.04306220095693779,31,18,29
7,D,all_agents,,,40,4,10,26,4,0,0.19579376582647467,0.16808896875443297,0.6233328964725037,0.012309610046105977,27,18,0.45,0,0.0,0.0,32.7,201,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,participants_only,,,30,4,0,26,4,0,0.20710978185289197,0.18497677758586195,0.6233328964725037,0.013040751557725402,27,18,0.6,0,0.0,0.0,26.933333333333334,201,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,nonparticipants_only,,,10,0,10,0,0,0,0.1618457177472227,0.14497228623013225,0.45706544468684274,0.008579558886726098,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.40000000000006,0.9999999999999999,0.011441647597253995,20.0,0.22883295194507994,56.0,0.6407322654462237,0.0,0.0,0.013867910150954373,0.0,0.0,0,0,11,29,10,40,56,40,6.800000000000003,0.07780320366132722,3.600000000000001,0.041189931350114395,34,18,32
8,D,all_agents,,,40,5,10,25,5,0,0.2010933292746995,0.16894233801361186,0.6323385657276847,0.012569287377987778,32,20,0.5,0,0.0,0.0,33.2,231,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,participants_only,,,30,5,0,25,5,0,0.21391545274405604,0.1947660600661901,0.6323385657276847,0.013340804713054797,32,20,0.6666666666666666,0,0.0,0.0,27.6,231,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,nonparticipants_only,,,10,0,10,0,0,0,0.1626269588666297,0.14424742479898156,0.4547801174634085,0.008281853169625618,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.80000000000008,0.2,0.002304147465437786,20.0,0.23041474654377858,56.0,0.6451612903225801,0.0,0.0,0.016329028481817293,0.08928571428571429,0.0,0,5,10,36,2,40,56,39,7.0000000000000036,0.08064516129032255,3.600000000000001,0.04147465437788016,35,18,31
