step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,C,nonparticipants_only,,,10,0,10,0,0,0,0.1735592739196639,0.12483388827549993,0.44871824719740233,0.010996968577169128,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,step_totals,,,,,,,,,,,,,,,,,,,,,80.30000000000007,20.0,0.24906600249065983,2.700000000000001,0.033623910336239085,0.0,0.0,48.0,0.5977584059775836,0.015860450288332013,0.14583333333333334,0.0,0,7,10,35,40,27,40,48,6.200000000000003,0.07721046077210458,3.400000000000001,0.04234122042341218,31,17,32
7,C,all_agents,,,40,8,10,22,8,0,0.20001454432045715,0.16870991759391762,0.5128294636570923,0.011996394872834562,42,20,0.5,0,0.0,0.0,33.025,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,participants_only,,,30,8,0,22,8,0,0.2085946521104007,0.18786352257966915,0.5128294636570923,0.012144344352168955,42,20,0.6666666666666666,0,0.0,0.0,27.366666666666667,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,nonparticipants_only,,,10,0,10,0,0,0,0.17427422095062642,0.12420971883412243,0.44647465596141533,0.01066912743858678,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,step_totals,,,,,,,,,,,,,,,,,,,,,89.30000000000005,19.5,0.21836506159014543,0.9999999999999999,0.011198208286674125,0.0,0.0,59.0,0.6606942889137734,0.0150809916396365,0.1016949152542373,0.0,0,6,16,27,39,10,39,59,6.000000000000003,0.06718924972004478,3.800000000000001,0.04255319148936169,30,19,26
8,C,all_agents,,,40,8,10,22,8,0,0.2051363755106165,0.17059120800782984,0.5323162851108085,0.01244881048643565,47,23,0.575,0,0.0,0.0,33.325,235,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,participants_only,,,30,8,0,22,8,0,0.21518775540443372,0.19326982821177136,0.5323162851108085,0.01274250927083426,47,23,0.7666666666666667,0,0.0,0.0,27.766666666666666,235,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,nonparticipants_only,,,10,0,10,0,0,0,0.1749822358291649,0.12440852743367929,0.44424228268160826,0.010355351280001824,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.80000000000007,19.5,0.2220956719817766,0.30000000000000004,0.0034168564920273327,0.0,0.0,57.0,0.6492027334851931,0.015667640575038746,0.08771929824561403,0.0,0,5,10,40,39,3,39,57,7.0000000000000036,0.07972665148063779,4.000000000000001,0.04555808656036444,35,20,33
9,C,all_agents,,,40,8,10,22,8,0,0.21037935415315737,0.1767816326859673,0.5510236337063762,0.012960790089692066,50,23,0.575,0,0.0,0.0,32.85,266,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,participants_only,,,30,8,0,22,8,0,0.2219444779602085,0.1952488378354585,0.5510236337063762,0.013395050234309015,50,23,0.7666666666666667,0,0.0,0.0,27.133333333333333,266,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,nonparticipants_only,,,10,0,10,0,0,0,0.17568398273200395,0.12578610296016016,0.4420210712682002,0.01005298459177217,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
