step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,B,reachability,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,15,25,0,0,0.16405136733798048,0.14723146986841765,0.5639156871731885,0.012223102178165685,9,8,0.2,0,0.0,0.0,25.7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,5,25,0,0,0.16640917376804124,0.14723146986841765,0.5639156871731885,0.012687047392917502,9,8,0.26666666666666666,0,0.0,0.0,24.266666666666666,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.15697794804779822,0.13908127115378818,0.47102060320119216,0.010764555519970607,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999997,4.000000000000002,0.047904191616766505,19.5,0.23353293413173662,60.0,0.7185628742514972,0.0,0.0,0.021656549699412973,0.15,0.0,0,9,30,21,40,39,60,34,,,,,,,
2,B,all_agents,,,40,3,11,26,3,0,0.17030710523744133,0.15337922473755736,0.581359059686261,0.012105261533343644,21,15,0.375,10,1.0,1.0,26.45,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,3,1,26,3,0,0.17447163069667865,0.1588968980291222,0.581359059686261,0.012623914498420352,21,15,0.5,10,1.0,1.0,23.6,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.15781352885972944,0.14296346030246376,0.4686655001851862,0.010341183370505894,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.7,4.000000000000002,0.04561003420752568,19.5,0.22234891676168755,59.0,0.6727480045610034,0.0,0.0,0.01863682797713638,0.03389830508474576,1.086956521739131,10,2,16,18,40,39,59,33,3.800000000000001,0.04332953249714939,1.4,0.015963511972633977,19,7,
3,B,all_agents,,,40,4,10,26,4,0,0.1762498412298382,0.15638324203209036,0.5981046972988106,0.012202251372502925,36,25,0.625,21,1.4285714285714286,1.0952380952380953,27.775,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,participants_only,,,30,4,0,26,4,0,0.1821202347875754,0.16360995932784766,0.5981046972988106,0.01281693631138317,36,25,0.8333333333333334,21,1.4285714285714286,1.0952380952380953,23.7,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,nonparticipants_only,,,10,0,10,0,0,0,0.15863866055662654,0.1469036506462902,0.4663221726842603,0.00994465830958952,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
