step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
6,A,nonparticipants_only,,,10,0,10,0,0,0,0.1531644034574097,0.12073636212562508,0.49926050384621173,0.009849714491632945,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,step_totals,,,,,,,,,,,,,,,,,,,,,79.60000000000007,3.2000000000000015,0.040201005025125615,20.0,0.251256281407035,0.0,0.0,45.0,0.5653266331658287,0.015978077071339032,0.1111111111111111,0.9589041095890425,14,5,4,29,32,40,39,45,5.600000000000002,0.07035175879396982,5.8000000000000025,0.07286432160804017,28,29,29
7,A,all_agents,,,40,5,10,25,5,0,0.18263848294631216,0.15624891171967636,0.5268273337507526,0.011380910859417087,75,30,0.75,48,2.4791666666666665,1.625,33.2,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,participants_only,,,30,5,0,25,5,0,0.1921835187222028,0.165446597373972,0.5268273337507526,0.011639649664611151,75,30,1.0,48,2.4791666666666665,1.625,27.6,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,nonparticipants_only,,,10,0,10,0,0,0,0.1540033756186402,0.12013268031499695,0.4967642013269807,0.009511401948278512,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.3000000000001,0.7,0.007838745800671884,20.0,0.2239641657334824,0.0,0.0,57.0,0.6382978723404248,0.01652421531749991,0.08771929824561403,0.5691056910569111,7,5,6,30,7,40,39,57,5.400000000000002,0.060470324748040274,6.200000000000003,0.06942889137737958,27,31,28
8,A,all_agents,,,40,4,10,26,4,0,0.18838154958770809,0.15857925937788214,0.5457542404007225,0.011541195980904903,87,30,0.75,56,2.8035714285714284,1.6607142857142858,33.55,237,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,participants_only,,,30,4,0,26,4,0,0.19956394932141103,0.17383923561697345,0.5457542404007225,0.011825124968956276,87,30,1.0,56,2.8035714285714284,1.6607142857142858,28.066666666666666,237,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,nonparticipants_only,,,10,0,10,0,0,0,0.15483435038659935,0.11953201691342197,0.49428038032034577,0.00918885625109896,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.6000000000001,0.2,0.002257336343115122,20.0,0.22573363431151217,0.0,0.0,56.0,0.6320541760722341,0.01714716719436218,0.07142857142857142,0.6349206349206356,8,4,7,39,2,40,39,56,6.000000000000003,0.06772009029345369,6.400000000000003,0.07223476297968393,30,32,33
9,A,all_agents,,,40,5,10,25,5,0,0.19389466444480885,0.1620020614751277,0.5639240707846936,0.011878015747051274,89,30,0.75,57,2.8421052631578947,1.6491228070175439,33.275,267,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,participants_only,,,30,5,0,25,5,0,0.20664038720481565,0.18434768730859283,0.5639240707846936,0.012227075088415643,89,30,1.0,57,2.8421052631578947,1.6491228070175439,27.7,267,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,nonparticipants_only,,,10,0,10,0,0,0,0.15565749616478855,0.11893435682885486,0.49180897841874405,0.008881396338858712,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,step_totals,,,,,,,,,,,,,,,,,,,,,92.40000000000012,0.2,0.002164502164502162,20.0,0.21645021645021617,0.0,0.0,60.0,0.6493506493506485,0.015798277316025105,0.016666666666666666,0.08064516129032266,1,1,6,32,2,40,38,60,5.8000000000000025,0.06277056277056271,6.400000000000003,0.06926406926406921,29,32,32
10,A,all_agents,,,40,5,10,25,5,0,0.1989388384175331,0.1649218936370148,0.5813671079533059,0.012244991032115982,95,30,0.75,59,3.0508474576271185,1.6271186440677967,33.125,295,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,participants_only,,,30,5,0,25,5,0,0.21309406685226145,0.18701235413129064,0.5813671079533059,0.012662625374000425,95,30,1.0,59,3.0508474576271185,1.6271186440677967,27.5,295,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,nonparticipants_only,,,10,0,10,0,0,0,0.15647315311334792,0.12025431834075598,0.48934993352665035,0.008587642101990539,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.60000000000011,,,20.0,0.22831050228310473,0.0,0.0,55.0,0.627853881278538,0.015452599675989666,0.07272727272727272,0.1587301587301589,2,4,7,41,,40,40,55,6.000000000000003,0.06849315068493145,6.600000000000003,0.0753424657534246,30,33,36
10,A,reachability,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,all_agents,,,40,6,10,24,6,0,0.20400675884505282,0.16604916806351794,0.5855534368737728,0.01265703853627087,98,30,0.75,59,3.0508474576271185,1.6271186440677967,32.725,322,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,participants_only,,,30,6,0,24,6,0,0.21958179269037595,0.1863976152878239,0.5855534368737728,0.013136961497733511,98,30,1.0,59,3.0508474576271185,1.6271186440677967,26.966666666666665,322,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,nonparticipants_only,,,10,0,10,0,0,0,0.15728165730908344,0.12066964424694426,0.4869031838590171,0.008306289500487417,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,step_totals,,,,,,,,,,,,,,,,,,,,,92.2000000000001,,,20.0,0.21691973969631212,0.0,0.0,60.0,0.6507592190889364,0.014691845654459837,0.05,0.0,0,3,8,30,,40,36,60,5.8000000000000025,0.06290672451193054,6.400000000000003,0.06941431670281992,29,32,33
12,A,all_agents,,,40,8,10,22,8,0,0.20937268437009815,0.16802912588781405,0.6021312993988219,0.01327531492753099,109,30,0.75,61,3.262295081967213,1.639344262295082,32.575,357,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,participants_only,,,30,8,0,22,8,0,0.22646944081709022,0.18942527447094085,0.6021312993988219,0.013851364138991464,109,30,1.0,61,3.262295081967213,1.639344262295082,26.766666666666666,357,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,nonparticipants_only,,,10,0,10,0,0,0,0.158082415029122,0.121545724182203,0.484468667939722,0.008039578321056394,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.80000000000011,,,20.0,0.2331002331002328,0.0,0.0,53.0,0.6177156177156169,0.016723909197189614,0.16981132075471697,0.15625000000000017,2,9,6,44,,40,40,53,6.000000000000003,0.06993006993006987,6.800000000000003,0.0792540792540792,30,34,39
13,A,all_agents,,,40,9,10,21,9,0,0.21447743217053258,0.17546472180387956,0.6180460474228691,0.013964687120698484,115,30,0.75,62,3.370967741935484,1.6451612903225807,32.1,388,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,participants_only,,,30,9,0,21,9,0,0.2330108119469309,0.19429070011842137,0.6180460474228691,0.014652180745524499,115,30,1.0,62,3.370967741935484,1.6451612903225807,26.133333333333333,388,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,nonparticipants_only,,,10,0,10,0,0,0,0.15887729284133753,0.12332826019230661,0.4820463246000234,0.007780372254985907,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,step_totals,,,,,,,,,,,,,,,,,,,,,92.00000000000011,,,20.0,0.21739130434782583,0.0,0.0,60.0,0.6521739130434775,0.014844128759200687,0.08333333333333333,0.08333333333333341,1,5,9,31,,40,34,60,5.8000000000000025,0.06304347826086952,6.200000000000003,0.06739130434782603,29,31,33
14,A,all_agents,,,40,9,10,21,9,0,0.21933889415338653,0.17844590164928942,0.6333242055259543,0.014659965620169963,117,30,0.75,62,3.370967741935484,1.6451612903225807,32.025,421,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,participants_only,,,30,9,0,21,9,0,0.2392296753618427,0.19916254294281427,0.6333242055259543,0.015454824889903218,117,30,1.0,62,3.370967741935484,1.6451612903225807,26.033333333333335,421,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,nonparticipants_only,,,10,0,10,0,0,0,0.15966655052801812,0.12731711296870302,0.47963609297702325,0.007527669685978136,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.8000000000001,,,19.0,0.22673031026252957,0.0,0.0,52.0,0.6205250596658705,0.015738428831074007,0.038461538461538464,0.0,0,2,6,45,,38,38,52,6.000000000000003,0.071599045346062,6.800000000000003,0.08114558472553694,30,34,38
15,A,all_agents,,,40,13,10,17,13,0,0.2245166842964946,0.18085821106829805,0.647991237304916,0.015521489770314456,122,30,0.75,62,3.370967741935484,1.6451612903225807,31.825,457,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,participants_only,,,30,13,0,17,13,0,0.24587288310607738,0.20801534229797072,0.647991237304916,0.016441111456378457,122,30,1.0,62,3.370967741935484,1.6451612903225807,25.766666666666666,457,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,nonparticipants_only,,,10,0,10,0,0,0,0.16044808786774628,0.12782281825878417,0.47723791251213815,0.007289577980989351,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.6000000000001,,,20.0,0.2283105022831048,0.0,0.0,56.0,0.6392694063926934,0.015840384024090017,0.08928571428571429,0.0,0,5,11,34,,40,35,56,5.8000000000000025,0.06621004566210041,5.8000000000000025,0.06621004566210041,29,29,37
16,A,all_agents,,,40,13,10,17,13,0,0.2288905143496901,0.18048398225692974,0.6620715878127194,0.016433568426422056,130,30,0.75,62,3.370967741935484,1.6451612903225807,32.0,490,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,participants_only,,,30,13,0,17,13,0,0.251445855884736,0.21071034352922208,0.6620715878127194,0.017524400879515376,130,30,1.0,62,3.370967741935484,1.6451612903225807,26.0,490,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,nonparticipants_only,,,10,0,10,0,0,0,0.16122448974455228,0.13052229792458386,0.47485172294957745,0.007056149885991273,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,step_totals,,,,,,,,,,,,,,,,,,,,,78.40000000000009,,,19.0,0.24234693877550992,0.0,0.0,47.0,0.5994897959183666,0.015404866515783823,0.1702127659574468,0.0,0,8,8,53,,38,38,47,6.000000000000003,0.0765306122448979,6.400000000000003,0.08163265306122443,30,32,41
17,A,all_agents,,,40,17,10,13,17,0,0.23364710850085718,0.18056428912220807,0.6755887243002106,0.017406147517296716,133,30,0.75,63,3.5238095238095237,1.6349206349206349,31.8,525,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,participants_only,,,30,17,0,13,17,0,0.2575310620975025,0.21497871773642224,0.6755887243002106,0.018649926951579247,133,30,1.0,63,3.5238095238095237,1.6349206349206349,25.733333333333334,525,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,nonparticipants_only,,,10,0,10,0,0,0,0.16199524771092116,0.1347866535191718,0.47247746433482957,0.006829490341568623,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.90000000000009,,,19.5,0.22700814901047706,0.0,0.0,55.0,0.6402793946449353,0.015016261345918252,0.03636363636363636,0.0877192982456141,1,2,12,35,,39,35,55,5.8000000000000025,0.06752037252619321,5.600000000000002,0.06519208381839343,29,28,36
18,A,all_agents,,,40,18,10,12,18,0,0.2375117530564504,0.17966146767659702,0.6885651753282022,0.01837223815297155,139,30,0.75,65,3.876923076923077,1.646153846153846,31.975,555,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,participants_only,,,30,18,0,12,18,0,0.26242920653838947,0.21390382414774015,0.6885651753282022,0.01980839307737251,139,30,1.0,65,3.876923076923077,1.646153846153846,25.966666666666665,555,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,nonparticipants_only,,,10,0,10,0,0,0,0.16275939261063316,0.13520743279018627,0.4701150770131554,0.0066132195234734886,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
