step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.1735592739196639,0.12483388827549993,0.44871824719740233,0.010996968577169128,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,82.60000000000008,19.5,0.23607748184019348,2.700000000000001,0.03268765133171911,0.0,0.0,49.0,0.5932203389830503,0.015050570727343395,0.061224489795918366,0.4964539007092206,7,3,5,31,39,27,39,49,5.400000000000002,0.06537530266343822,6.000000000000003,0.07263922518159803,27,30,28
7,B,all_agents,,,40,8,10,22,8,0,0.19978900593585294,0.1691492740297252,0.5128294636570923,0.01221458839833021,85,30,0.75,46,2.5217391304347827,1.4565217391304348,33.225,207,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,participants_only,,,30,8,0,22,8,0,0.20829393426426177,0.18354583223006987,0.5128294636570923,0.012440406828092535,85,30,1.0,46,2.5217391304347827,1.4565217391304348,27.633333333333333,207,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,nonparticipants_only,,,10,0,10,0,0,0,0.17427422095062642,0.12420971883412243,0.44647465596141533,0.01066912743858678,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.20000000000009,20.0,0.22172949002217274,0.9999999999999999,0.011086474501108636,0.0,0.0,57.0,0.6319290465631923,0.014750892864704357,0.08771929824561403,0.07575757575757584,1,5,6,29,40,10,39,57,6.200000000000003,0.06873614190687358,6.000000000000003,0.06651884700665185,31,30,30
8,B,all_agents,,,40,9,10,21,9,0,0.2047863238959738,0.17100980774197494,0.5323162851108085,0.012681717202229412,88,30,0.75,48,2.6458333333333335,1.4583333333333333,33.525,236,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,participants_only,,,30,9,0,21,9,0,0.21472101991824344,0.18958790562082498,0.5323162851108085,0.013062379769419008,88,30,1.0,48,2.6458333333333335,1.4583333333333333,28.033333333333335,236,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,nonparticipants_only,,,10,0,10,0,0,0,0.1749822358291649,0.12440852743367929,0.44424228268160826,0.010355351280001824,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,step_totals,,,,,,,,,,,,,,,,,,,,,89.90000000000009,19.0,0.21134593993325895,0.30000000000000004,0.0033370411568409315,0.0,0.0,58.0,0.64516129032258,0.014966507644759734,0.017241379310344827,0.15503875968992262,2,1,7,39,38,3,38,58,6.600000000000003,0.07341490545050051,6.000000000000003,0.06674082313681864,33,30,31
9,B,all_agents,,,40,10,10,20,10,0,0.20995600415283336,0.17408600971968327,0.5510236337063762,0.01330384285764654,92,30,0.75,51,2.8823529411764706,1.4705882352941178,33.1,267,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,participants_only,,,30,10,0,20,10,0,0.22138001129310986,0.1908282518159018,0.5510236337063762,0.01386543052304031,92,30,1.0,51,2.8823529411764706,1.4705882352941178,27.466666666666665,267,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,nonparticipants_only,,,10,0,10,0,0,0,0.17568398273200395,0.12578610296016016,0.4420210712682002,0.01005298459177217,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,step_totals,,,,,,,,,,,,,,,,,,,,,92.00000000000009,20.0,0.2173913043478259,0.2,0.002173913043478259,0.0,0.0,60.0,0.6521739130434776,0.015018813668327836,0.016666666666666666,0.2500000000000002,3,1,9,30,40,2,40,60,5.8000000000000025,0.06304347826086953,6.000000000000003,0.0652173913043478,29,30,33
10,B,all_agents,,,40,10,10,20,10,0,0.21497956500978302,0.17939653050064247,0.5689826883581212,0.014014808311473366,99,30,0.75,53,3.0943396226415096,1.490566037735849,32.725,299,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,participants_only,,,30,10,0,20,10,0,0.22784637228851196,0.19293462190864247,0.5689826883581212,0.01476975717984631,99,30,1.0,53,3.0943396226415096,1.490566037735849,26.966666666666665,299,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,nonparticipants_only,,,10,0,10,0,0,0,0.1763791431735963,0.12703323914666598,0.4398109659118592,0.00976330495177912,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,step_totals,,,,,,,,,,,,,,,,,,,,,89.5000000000001,19.5,0.2178770949720668,,,0.0,0.0,58.0,0.6480446927374295,0.015071860400288337,0.08620689655172414,0.16666666666666682,2,5,10,38,39,,39,58,6.000000000000003,0.06703910614525135,6.000000000000003,0.06703910614525135,30,30,31
