step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,A,reachability,0.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,18,22,0,0,0.16339611922692113,0.13492574603709384,0.6808536421606997,0.013268727981024856,5,4,0.1,0,0.0,0.0,26.225,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,8,22,0,0,0.1621298180055855,0.12445322862384564,0.6808536421606997,0.013596430687448178,5,4,0.13333333333333333,0,0.0,0.0,24.966666666666665,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.1671950228909279,0.1560341173753483,0.520165958722787,0.01226637763635702,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999997,19.5,0.23353293413173662,4.000000000000002,0.047904191616766505,60.0,0.7185628742514972,0.0,0.0,0.01869616400109852,0.08333333333333333,0.0,0,5,30,23,39,40,60,29,,,,,,,
2,A,all_agents,,,40,2,13,25,2,0,0.1691946925549869,0.13709210213473627,0.6774493739498961,0.013293977599067228,14,10,0.25,3,1.0,1.0,27.45,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,2,3,25,2,0,0.16959939692554474,0.13020916076460656,0.6774493739498961,0.013795100511965896,14,10,0.3333333333333333,3,1.0,1.0,24.933333333333334,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.16798057944331338,0.15525394678847154,0.5175651289291731,0.011788643432840643,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.20000000000002,20.0,0.22675736961451243,4.000000000000002,0.04535147392290251,60.0,0.6802721088435373,0.0,0.0,0.01724941728562244,0.1,0.36585365853658547,3,6,21,21,40,40,60,29,3.600000000000001,0.04081632653061225,0.6000000000000001,0.006802721088435374,18,3,
3,A,all_agents,,,40,6,11,23,6,0,0.17564455373060464,0.14183378912238687,0.6740621270801467,0.013380334132012192,32,19,0.475,15,1.3333333333333333,1.1333333333333333,29.15,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,participants_only,,,30,6,1,23,6,0,0.17794045858568136,0.13900042118169162,0.6740621270801467,0.014040977142496894,32,19,0.6333333333333333,15,1.3333333333333333,1.1333333333333333,25.533333333333335,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,nonparticipants_only,,,10,0,10,0,0,0,0.16875683916537448,0.1544776770545292,0.5149773032845272,0.011335150951315305,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.60000000000001,20.0,0.228310502283105,3.800000000000002,0.04337899543378997,58.0,0.6621004566210045,0.0,0.0,0.019152830473066283,0.10344827586206896,1.2500000000000009,12,6,18,20,40,38,58,29,3.800000000000001,0.043378995433789966,1.9999999999999998,0.022831050228310498,19,10,
4,A,all_agents,,,40,6,11,23,6,0,0.18038676746212123,0.14507067354051423,0.670691816444746,0.013479798788603987,45,26,0.65,23,1.5217391304347827,1.173913043478261,31.225,119,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,participants_only,,,30,6,1,23,6,0,0.18400767824193,0.14276467937249604,0.670691816444746,0.01428566120853659,45,26,0.8666666666666667,23,1.5217391304347827,1.173913043478261,26.633333333333333,119,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,nonparticipants_only,,,10,0,10,0,0,0,0.1695240351226949,0.15370528866925653,0.5124024167681045,0.010904879590302148,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.40000000000005,20.0,0.23696682464454963,3.800000000000002,0.045023696682464455,52.0,0.6161137440758291,0.0,0.0,0.015108578827907315,0.09615384615384616,0.6451612903225814,8,5,9,22,40,38,52,35,5.000000000000002,0.05924170616113743,3.600000000000001,0.04265402843601895,25,18,15
5,A,all_agents,,,40,7,11,22,7,0,0.18539774090721522,0.14904077585077977,0.6673383573625222,0.013799321116180414,62,28,0.7,33,1.6363636363636365,1.2727272727272727,33.5,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,participants_only,,,30,7,1,22,7,0,0.1904360166870775,0.14861509516309912,0.6673383573625222,0.01479933430113795,62,28,0.9333333333333333,33,1.6363636363636365,1.2727272727272727,28.0,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,nonparticipants_only,,,10,0,10,0,0,0,0.17028291356762837,0.15293676222591027,0.509840404684264,0.010494670887300443,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,step_totals,,,,,,,,,,,,,,,,,,,,,82.70000000000003,19.5,0.2357920193470374,3.600000000000002,0.043530834340991545,50.0,0.60459492140266,0.0,0.0,0.016269931353631948,0.14,0.7575757575757587,10,7,6,22,39,36,50,35,4.600000000000001,0.05562273276904474,5.000000000000002,0.06045949214026602,23,25,21
6,A,all_agents,,,40,8,10,22,8,0,0.18997408306996377,0.15311814047889905,0.6640016655757096,0.013892097661614727,73,29,0.725,44,2.3181818181818183,1.3863636363636365,33.725,173,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,participants_only,,,30,8,0,22,8,0,0.19628762104836772,0.1533318676844576,0.6640016655757096,0.014995294970048884,73,29,0.9666666666666667,44,2.3181818181818183,1.3863636363636365,28.3,173,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,nonparticipants_only,,,10,0,10,0,0,0,0.1710334691347519,0.1521720784147807,0.5072912026608426,0.010104176594655269,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,step_totals,,,,,,,,,,,,,,,,,,,,,80.60000000000007,20.0,0.24813895781637696,3.2000000000000015,0.039702233250620333,46.0,0.570719602977667,0.0,0.0,0.015552205478986978,0.0,0.7534246575342477,11,0,2,33,40,32,46,40,6.200000000000003,0.0769230769230769,5.200000000000002,0.06451612903225803,31,26,29
7,A,all_agents,,,40,9,10,21,9,0,0.19539960320165467,0.1645461308291476,0.660681657247831,0.014148973208361367,82,29,0.725,48,2.5,1.3958333333333333,33.425,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,participants_only,,,30,9,0,21,9,0,0.2032744939579722,0.16657908742932495,0.660681657247831,0.015371677758690146,82,29,0.9666666666666667,48,2.5,1.3958333333333333,27.9,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,nonparticipants_only,,,10,0,10,0,0,0,0.1717749309327021,0.1514112180227068,0.5047547466475384,0.009736692704287807,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
