step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.18170395714237367,0.154158760078694,0.5328874347141267,0.012379319330679876,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,80.90000000000005,20.0,0.2472187886279356,3.5000000000000018,0.043263288009888747,0.0,0.0,47.0,0.5809641532756487,0.01659032765953696,0.1276595744680851,0.6474820143884902,9,6,34,3,40,35,38,47,5.400000000000002,0.06674907292954263,5.000000000000002,0.06180469715698392,27,25,29
7,B,all_agents,,,40,6,10,24,6,0,0.19282116601013088,0.16156819405126374,0.5913401783917708,0.011443762957308496,64,29,0.725,38,2.789473684210526,1.5789473684210527,33.025,193,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,participants_only,,,30,6,0,24,6,0,0.1963008248362712,0.16224396422135004,0.5913401783917708,0.011211307683819671,64,29,0.9666666666666667,38,2.789473684210526,1.5789473684210527,27.366666666666667,193,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,nonparticipants_only,,,10,0,10,0,0,0,0.18238218953170993,0.15745919432208255,0.530222997540556,0.011995832471218935,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.90000000000008,20.0,0.22753128555176316,0.8999999999999999,0.01023890784982934,0.0,0.0,56.0,0.6370875995449369,0.01713492834721006,0.07142857142857142,0.16806722689075645,2,4,28,10,40,9,37,56,5.400000000000002,0.06143344709897608,5.600000000000002,0.06370875995449371,27,28,30
8,B,all_agents,,,40,8,10,22,8,0,0.19882215059333203,0.16675411932439754,0.5883834774998119,0.011492514269519864,74,30,0.75,40,2.95,1.65,33.35,229,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,participants_only,,,30,8,0,22,8,0,0.20407812746465134,0.17702014056761833,0.5883834774998119,0.011337854580992172,74,30,1.0,40,2.95,1.65,27.8,229,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,nonparticipants_only,,,10,0,10,0,0,0,0.1830542199793741,0.15721382372354015,0.5275718825528533,0.011624989820640818,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,step_totals,,,,,,,,,,,,,,,,,,,,,85.60000000000008,20.0,0.2336448598130839,0.4,0.004672897196261678,0.0,0.0,53.0,0.6191588785046723,0.01863100104592712,0.1509433962264151,0.1587301587301589,2,8,45,5,40,4,38,53,6.400000000000003,0.07476635514018688,5.8000000000000025,0.06775700934579436,32,29,32
9,B,all_agents,,,40,8,10,22,8,0,0.2042238072586437,0.17369272337548364,0.5854415601123129,0.011593383496474808,81,30,0.75,41,3.024390243902439,1.6341463414634145,33.1,258,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,participants_only,,,30,8,0,22,8,0,0.21105841551551577,0.18647117954258313,0.5854415601123129,0.011515234963870599,81,30,1.0,41,3.024390243902439,1.6341463414634145,27.466666666666665,258,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,nonparticipants_only,,,10,0,10,0,0,0,0.18371998248802754,0.15679767008612422,0.524934023140089,0.011267286653988594,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
