step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,A,reachability,0.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,all_agents,,,40,0,19,21,0,0,0.1619022347920243,0.1385246914331097,0.5912058301830839,0.011490901399829785,5,5,0.125,0,0.0,0.0,25.7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,participants_only,,,30,0,9,21,0,0,0.15031454479455703,0.12350124182784061,0.5912058301830839,0.011052796167217946,5,5,0.16666666666666666,0,0.0,0.0,24.266666666666666,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,nonparticipants_only,,,10,0,10,0,0,0,0.19666530478442618,0.1887078588318021,0.5802469307275154,0.011193922383936461,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,4.000000000000002,0.04761904761904766,20.0,0.23809523809523817,60.0,0.7142857142857145,0.0,0.0,0.01877224214069165,0.08333333333333333,0.0,0,5,30,14,40,40,60,35,,,,,,,
2,A,all_agents,,,40,1,12,27,1,0,0.167943862735843,0.1440392652399971,0.6075575969757606,0.011327321022603162,16,11,0.275,5,1.0,1.0,26.45,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,participants_only,,,30,1,2,27,1,0,0.15816649759264703,0.12997700750392016,0.6075575969757606,0.011139114586359664,16,11,0.36666666666666664,5,1.0,1.0,23.6,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,nonparticipants_only,,,10,0,10,0,0,0,0.19727595816543092,0.1888922662453903,0.5773456960738779,0.010744777901613054,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.6,4.000000000000002,0.046189376443418036,20.0,0.2309468822170901,59.0,0.6812933025404158,0.0,0.0,0.0182559766962877,0.1016949152542373,0.6578947368421056,5,6,24,11,40,40,59,34,0.8,0.009237875288683604,2.8000000000000003,0.03233256351039261,4,14,
3,A,all_agents,,,40,2,10,28,2,0,0.1746235130512474,0.15153899377832802,0.6232552930967302,0.011386396883379,33,18,0.45,13,1.3846153846153846,1.0769230769230769,27.775,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,participants_only,,,30,2,0,28,2,0,0.16687218667702067,0.1428215781528777,0.6232552930967302,0.011500736322594922,33,18,0.6,13,1.3846153846153846,1.0769230769230769,23.7,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,nonparticipants_only,,,10,0,10,0,0,0,0.19787749217392772,0.18794780491416335,0.5744589675935085,0.010322381839013831,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.09999999999998,3.900000000000002,0.044267877412031816,20.0,0.2270147559591374,59.0,0.6696935300794553,0.0,0.0,0.019674853990476814,0.15254237288135594,0.8791208791208797,8,9,20,9,39,40,59,33,2.1999999999999997,0.02497162315550511,3.0000000000000004,0.034052213393870615,11,15,
4,A,all_agents,,,40,2,10,28,2,0,0.17996165621619148,0.16086892664346158,0.6201390166312466,0.011260784764696186,52,27,0.675,27,1.7777777777777777,1.1481481481481481,29.375,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,participants_only,,,30,2,0,28,2,0,0.17379228574019429,0.14965128462723304,0.6201390166312466,0.011553008974934316,52,27,0.9,27,1.7777777777777777,1.1481481481481481,24.166666666666668,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,nonparticipants_only,,,10,0,10,0,0,0,0.198469767644183,0.1870080658895925,0.5715866727555409,0.009927378549140529,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.20000000000005,4.000000000000002,0.047505938242280284,20.0,0.2375296912114013,52.0,0.6175771971496433,0.0,0.0,0.016939538441269816,0.09615384615384616,1.1475409836065589,14,5,9,18,40,40,52,38,3.600000000000001,0.042755344418052246,4.600000000000001,0.054631828978622315,18,23,22
