step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,B,reachability,0.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,all_agents,,,40,0,15,25,0,0,0.1741576962424632,0.15267526182505348,0.6792305208175738,0.013613385552585847,1,1,0.025,0,0.0,0.0,25.95,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,participants_only,,,30,0,5,25,0,0,0.17621718865877453,0.1553312301876314,0.5621042251065486,0.012191616561097638,1,1,0.03333333333333333,0,0.0,0.0,24.6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,nonparticipants_only,,,10,0,10,0,0,0,0.16797921899352902,0.14045655041454574,0.6792305208175738,0.017827794418896346,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,20.0,0.23809523809523817,4.000000000000002,0.04761904761904766,0.0,0.0,60.0,0.7142857142857145,0.019940563056909014,0.016666666666666666,0.0,0,1,21,30,40,40,37,60,,,,,,,
2,B,all_agents,,,40,2,11,27,2,0,0.17994141383130688,0.15641320830246078,0.675834368213486,0.013547558653515,10,9,0.225,1,1.0,1.0,26.9,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,participants_only,,,30,2,1,27,2,0,0.18366958913391818,0.16102691330424157,0.5592937039810159,0.01223777482247211,10,9,0.3,1,1.0,1.0,24.2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,nonparticipants_only,,,10,0,10,0,0,0,0.16875688792347285,0.14049524365905175,0.675834368213486,0.01731011865359966,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.0,20.0,0.22727272727272727,4.000000000000002,0.04545454545454548,0.0,0.0,60.0,0.6818181818181818,0.01733948156403308,0.13333333333333333,0.12500000000000006,1,8,21,20,40,40,36,60,3.800000000000001,0.043181818181818196,0.2,0.002272727272727273,19,1,
3,B,all_agents,,,40,3,10,27,3,0,0.18576436011180128,0.1659653593093327,0.6724551963724186,0.013600946238551626,23,20,0.5,9,1.1111111111111112,1.1111111111111112,28.425,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,participants_only,,,30,3,0,27,3,0,0.19117768770816457,0.17377117716766857,0.5564972354611107,0.012410559752047206,23,20,0.6666666666666666,9,1.1111111111111112,1.1111111111111112,24.566666666666666,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,nonparticipants_only,,,10,0,10,0,0,0,0.1695243773227114,0.14298118078277672,0.6724551963724186,0.016820456310078304,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.80000000000001,20.0,0.2252252252252252,4.000000000000002,0.04504504504504506,0.0,0.0,59.0,0.6644144144144143,0.01728551318627416,0.0847457627118644,0.8163265306122456,8,5,20,14,40,40,35,59,4.000000000000001,0.04504504504504505,1.7999999999999998,0.020270270270270264,20,9,
4,B,all_agents,,,40,5,10,25,5,0,0.19045803882184995,0.1666957914467504,0.6690929203905565,0.013603055772607566,36,24,0.6,19,1.4736842105263157,1.2105263157894737,30.625,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,participants_only,,,30,5,0,25,5,0,0.1971831174178444,0.17604882651167877,0.5537147492838052,0.012505051434291817,36,24,0.8,19,1.4736842105263157,1.2105263157894737,25.833333333333332,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,nonparticipants_only,,,10,0,10,0,0,0,0.17028280303386664,0.1467843840177106,0.6690929203905565,0.016354348602087183,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,step_totals,,,,,,,,,,,,,,,,,,,,,82.30000000000004,20.0,0.2430133657351153,3.900000000000002,0.047387606318347514,0.0,0.0,49.0,0.5953827460510325,0.01556677006968587,0.061224489795918366,0.7518796992481214,10,3,27,5,40,39,39,49,5.400000000000002,0.06561360874848116,4.000000000000001,0.04860267314702307,27,20,20
5,B,all_agents,,,40,5,10,25,5,0,0.19535564830943436,0.16740385069366995,0.6657474557886037,0.013694469677519324,45,26,0.65,27,1.8518518518518519,1.2592592592592593,32.925,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,participants_only,,,30,5,0,25,5,0,0.20346312396982683,0.17743393781181926,0.5509461755373861,0.012693994504849895,45,26,0.8666666666666667,27,1.8518518518518519,1.2592592592592593,27.233333333333334,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,nonparticipants_only,,,10,0,10,0,0,0,0.17103322132825696,0.14618193979672453,0.6657474557886037,0.01590712125652134,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,step_totals,,,,,,,,,,,,,,,,,,,,,82.80000000000005,20.0,0.24154589371980661,4.000000000000002,0.048309178743961345,0.0,0.0,49.0,0.5917874396135262,0.016039099700368094,0.02040816326530612,0.5797101449275371,8,1,25,2,40,40,40,49,5.000000000000002,0.060386473429951674,4.800000000000002,0.0579710144927536,25,24,23
6,B,all_agents,,,40,6,10,24,6,0,0.2000448825423793,0.16656683144020162,0.6624187185096607,0.013858301519018281,55,28,0.7,33,2.1515151515151514,1.303030303030303,33.425,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,participants_only,,,30,6,0,24,6,0,0.2094681310544645,0.17654676812276016,0.5503222148485769,0.012962210004030672,55,28,0.9333333333333333,33,2.1515151515151514,1.303030303030303,27.9,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.17177513700612368,0.14855950441651158,0.6624187185096607,0.015481004713734923,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,80.40000000000008,20.0,0.2487562189054724,2.800000000000001,0.03482587064676615,0.0,0.0,46.0,0.5721393034825866,0.01598179885313632,0.08695652173913043,0.4166666666666673,6,4,34,6,40,28,39,46,6.400000000000003,0.0796019900497512,5.200000000000002,0.06467661691542285,32,26,29
7,B,all_agents,,,40,6,10,24,6,0,0.20610131942501822,0.16829644518637144,0.6591066249171124,0.014041947637447634,62,28,0.7,37,2.3513513513513513,1.2972972972972974,33.45,208,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,participants_only,,,30,6,0,24,6,0,0.2172985525348385,0.17861793446852298,0.5683093262546338,0.01319730494559689,62,28,0.9333333333333333,37,2.3513513513513513,1.2972972972972974,27.933333333333334,208,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,nonparticipants_only,,,10,0,10,0,0,0,0.17250962009555731,0.14781670689442902,0.6591066249171124,0.015071339361211996,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.00000000000007,20.0,0.22222222222222204,0.7999999999999999,0.008888888888888882,0.0,0.0,58.0,0.6444444444444439,0.01782283827450172,0.05172413793103448,0.3333333333333336,4,3,27,10,40,8,40,58,5.600000000000002,0.0622222222222222,5.600000000000002,0.0622222222222222,28,28,27
8,B,all_agents,,,40,6,10,24,6,0,0.21162488097344287,0.1728179186624222,0.6558110917925268,0.014230679103537099,71,28,0.7,40,2.6,1.3,33.6,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,participants_only,,,30,6,0,24,6,0,0.2244207915439522,0.1928097204642615,0.5855769532044485,0.013427107107976729,71,28,0.9333333333333333,40,2.6,1.3,28.133333333333333,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,nonparticipants_only,,,10,0,10,0,0,0,0.17323714926191489,0.1480154499595337,0.6558110917925268,0.01467657116227654,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,step_totals,,,,,,,,,,,,,,,,,,,,,89.70000000000009,20.0,0.22296544035674448,0.30000000000000004,0.003344481605351168,0.0,0.0,57.0,0.6354515050167218,0.016527518657525275,0.10526315789473684,0.23622047244094513,3,6,37,7,40,3,39,57,6.800000000000003,0.07580824972129316,5.600000000000002,0.062430323299888485,34,28,34
9,B,all_agents,,,40,9,10,21,9,0,0.21701227902530745,0.17692342761509583,0.6525320363335642,0.014681380534096438,79,29,0.725,42,2.7857142857142856,1.3571428571428572,33.225,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,participants_only,,,30,9,0,21,9,0,0.2313637965485767,0.20313946758090834,0.6021538750762705,0.013985834859596178,79,29,0.9666666666666667,42,2.7857142857142856,1.3571428571428572,27.633333333333333,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,nonparticipants_only,,,10,0,10,0,0,0,0.17395772645549978,0.1492140031614544,0.6525320363335642,0.01429642489494877,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.9000000000001,20.0,0.22002200220021978,0.1,0.001100110011001099,0.0,0.0,59.0,0.6490649064906483,0.015864620340679328,0.1016949152542373,0.16806722689075645,2,6,28,9,40,1,39,59,6.200000000000003,0.06820682068206815,5.600000000000002,0.06160616061606156,31,28,31
10,B,all_agents,,,40,12,10,18,12,0,0.22238132388314133,0.179718442452436,0.6492693761518963,0.015208034306604496,86,29,0.725,44,3.022727272727273,1.3636363636363635,32.9,309,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,participants_only,,,30,12,0,18,12,0,0.23828452753900783,0.21001457197691653,0.6180677200732196,0.014622522677467593,86,29,0.9666666666666667,44,3.022727272727273,1.3636363636363635,27.2,309,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,nonparticipants_only,,,10,0,10,0,0,0,0.17467171291554187,0.15117999530497905,0.6492693761518963,0.01392962655577562,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
