step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
6,A,nonparticipants_only,,,10,0,10,0,0,0,0.15905319071060287,0.12352806585116162,0.6066388198340544,0.012060607393130583,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,step_totals,,,,,,,,,,,,,,,,,,,,,81.60000000000007,3.0000000000000013,0.03676470588235293,20.0,0.24509803921568607,47.0,0.5759803921568623,0.0,0.0,0.01578099786700357,0.14893617021276595,0.20547945205479481,3,7,32,3,30,40,47,40,5.400000000000002,0.06617647058823527,6.200000000000003,0.07598039215686272,27,31,31
7,A,all_agents,,,40,7,10,23,7,0,0.19915397952936517,0.15952308794372902,0.6644460405130846,0.014022909530342685,75,30,0.75,39,2.641025641025641,1.358974358974359,33.775,215,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,participants_only,,,30,7,0,23,7,0,0.21225216519045834,0.18410833473851784,0.6644460405130846,0.014112607474461763,75,30,1.0,39,2.641025641025641,1.358974358974359,28.366666666666667,215,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,nonparticipants_only,,,10,0,10,0,0,0,0.15985942254608576,0.12291042552190581,0.6036056257348842,0.011695066086635864,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.60000000000007,1.2,0.013392857142857133,20.0,0.22321428571428556,57.0,0.6361607142857139,0.0,0.0,0.01545650405945807,0.08771929824561403,0.4761904761904767,6,5,31,7,12,40,57,38,5.400000000000002,0.06026785714285712,6.000000000000003,0.0669642857142857,27,30,28
8,A,all_agents,,,40,7,10,23,7,0,0.2043430720433334,0.16671861536207633,0.6611238103105193,0.014382233947186502,86,30,0.75,46,3.0869565217391304,1.434782608695652,34.2,246,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,participants_only,,,30,7,0,23,7,0,0.21890518012595284,0.1871190331514177,0.6611238103105193,0.014544777880280423,86,30,1.0,46,3.0869565217391304,1.434782608695652,28.933333333333334,246,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,nonparticipants_only,,,10,0,10,0,0,0,0.1606567477954751,0.12229587339429629,0.6005875976062097,0.011349942246186052,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.7000000000001,0.30000000000000004,0.003460207612456744,20.0,0.23068050749711622,54.0,0.6228373702422138,0.0,0.0,0.016066168798810183,0.07407407407407407,0.5511811023622053,7,4,41,8,3,40,54,37,6.000000000000003,0.0692041522491349,6.400000000000003,0.07381776239907722,30,32,32
