step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.15905319071060287,0.12352806585116162,0.6066388198340544,0.012060607393130583,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,82.90000000000009,3.1000000000000014,0.03739445114595896,20.0,0.24125452352231577,48.0,0.5790108564535579,0.0,0.0,0.015632622614547283,0.08333333333333333,0.4697986577181215,7,4,32,1,31,40,48,40,5.400000000000002,0.06513872135102529,6.400000000000003,0.07720144752714109,27,32,29
7,B,all_agents,,,40,7,10,23,7,0,0.19830277511929464,0.16464525422224915,0.6644460405130846,0.01395862505918402,67,30,0.75,39,3.076923076923077,1.5128205128205128,33.625,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,participants_only,,,30,7,0,23,7,0,0.21111722597703095,0.18787324758233964,0.6644460405130846,0.014056304113558717,67,30,1.0,39,3.076923076923077,1.5128205128205128,28.166666666666668,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,nonparticipants_only,,,10,0,10,0,0,0,0.15985942254608576,0.12291042552190581,0.6036056257348842,0.011695066086635864,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,step_totals,,,,,,,,,,,,,,,,,,,,,89.80000000000007,0.9999999999999999,0.011135857461024488,20.0,0.2227171492204898,57.0,0.6347438752783959,0.0,0.0,0.014834219500287,0.07017543859649122,0.31250000000000033,4,4,30,7,10,40,57,39,5.8000000000000025,0.06458797327394207,6.000000000000003,0.06681514476614697,29,30,28
8,B,all_agents,,,40,7,10,23,7,0,0.20331638462037216,0.16934008365313002,0.6611238103105193,0.014352785580570765,77,30,0.75,42,3.119047619047619,1.5,34.0,234,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,participants_only,,,30,7,0,23,7,0,0.2175362635620045,0.19107950623022368,0.6611238103105193,0.014544913530240284,77,30,1.0,42,3.119047619047619,1.5,28.666666666666668,234,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,nonparticipants_only,,,10,0,10,0,0,0,0.1606567477954751,0.12229587339429629,0.6005875976062097,0.011349942246186052,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.9000000000001,0.1,0.0011376564277588155,20.0,0.2275312855517631,55.0,0.6257110352673485,0.0,0.0,0.015349277765246246,0.12727272727272726,0.23255813953488397,3,7,43,6,1,40,55,40,6.000000000000003,0.06825938566552896,6.800000000000003,0.0773606370875995,30,34,32
9,B,all_agents,,,40,7,10,23,7,0,0.20853602338584626,0.1703339628743517,0.6578181912589667,0.014765519232613572,87,30,0.75,46,3.3260869565217392,1.4565217391304348,33.6,264,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,participants_only,,,30,7,0,23,7,0,0.2242320857003752,0.19274762497342152,0.6578181912589667,0.015030367273321608,87,30,1.0,46,3.3260869565217392,1.4565217391304348,28.133333333333333,264,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,nonparticipants_only,,,10,0,10,0,0,0,0.16144783644225938,0.12225805995975067,0.5975846596181786,0.011014578644310553,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,step_totals,,,,,,,,,,,,,,,,,,,,,92.60000000000011,,,20.0,0.21598272138228916,60.0,0.6479481641468675,0.0,0.0,0.015065746940952056,0.1,0.3174603174603178,4,6,29,7,,40,60,38,6.000000000000003,0.06479481641468678,6.600000000000003,0.07127429805615546,30,33,29
10,B,all_agents,,,40,10,10,20,10,0,0.21336989969529882,0.17496959183942679,0.6545291003026719,0.015284774062100067,92,30,0.75,46,3.3260869565217392,1.4565217391304348,33.225,293,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,participants_only,,,30,10,0,20,10,0,0.2304162879984103,0.19379466563585085,0.6545291003026719,0.01565184859232889,92,30,1.0,46,3.3260869565217392,1.4565217391304348,27.633333333333333,293,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,nonparticipants_only,,,10,0,10,0,0,0,0.16223073478596445,0.12366776048896175,0.5945967363200877,0.010696598221248133,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.60000000000011,,,20.0,0.22573363431151214,56.0,0.632054176072234,0.0,0.0,0.014755231115240018,0.08928571428571429,0.0,0,5,42,7,,40,56,40,6.000000000000003,0.06772009029345367,6.600000000000003,0.07449209932279904,30,33,32
10,B,reachability,0.325,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,all_agents,,,40,10,10,20,10,0,0.21828668656184028,0.17765235445057304,0.6512564548011585,0.015797650789991364,97,30,0.75,46,3.3260869565217392,1.4565217391304348,32.775,322,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,participants_only,,,30,10,0,20,10,0,0.2367131422325113,0.19523259785021868,0.6512564548011585,0.016242480405165308,97,30,1.0,46,3.3260869565217392,1.4565217391304348,27.033333333333335,322,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,nonparticipants_only,,,10,0,10,0,0,0,0.16300731954982725,0.1264108205076201,0.5916237526384872,0.010388750721471092,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,step_totals,,,,,,,,,,,,,,,,,,,,,92.40000000000009,,,20.0,0.21645021645021623,60.0,0.6493506493506487,0.0,0.0,0.014336254165774174,0.08333333333333333,0.0,0,5,28,8,,40,60,38,6.000000000000003,0.0649350649350649,6.400000000000003,0.06926406926406922,30,32,31
12,B,all_agents,,,40,13,10,17,13,0,0.22313663976454098,0.17722704890777538,0.6480001725271527,0.016591165214966168,99,30,0.75,46,3.3260869565217392,1.4565217391304348,32.7,356,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,participants_only,,,30,13,0,17,13,0,0.242923087833501,0.19425643486096758,0.6480001725271527,0.01719149709886504,99,30,1.0,46,3.3260869565217392,1.4565217391304348,26.933333333333334,356,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,nonparticipants_only,,,10,0,10,0,0,0,0.16377729555766088,0.12696053229499946,0.5886656338752948,0.010092127237041731,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,step_totals,,,,,,,,,,,,,,,,,,,,,84.40000000000009,,,20.0,0.23696682464454952,52.0,0.6161137440758288,0.0,0.0,0.015586321768417616,0.038461538461538464,0.0,0,2,48,8,,40,52,38,6.000000000000003,0.07109004739336489,6.400000000000003,0.07582938388625587,30,32,33
13,B,all_agents,,,40,16,10,14,16,0,0.22845909471772752,0.17969351574595277,0.6497020366915776,0.017404170110567108,107,30,0.75,47,3.5106382978723403,1.4680851063829787,32.275,393,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,participants_only,,,30,16,0,14,16,0,0.24976495539157212,0.19603276270085723,0.6497020366915776,0.018121980841629696,107,30,1.0,47,3.5106382978723403,1.4680851063829787,26.366666666666667,393,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,nonparticipants_only,,,10,0,10,0,0,0,0.16454151269619371,0.13029983474018864,0.5857223057059183,0.009803461528740003,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,step_totals,,,,,,,,,,,,,,,,,,,,,92.0000000000001,,,20.0,0.21739130434782586,60.0,0.6521739130434776,0.0,0.0,0.015490354366039329,0.11666666666666667,0.08333333333333341,1,7,25,10,,40,60,38,6.000000000000003,0.06521739130434778,6.000000000000003,0.06521739130434778,30,30,31
14,B,all_agents,,,40,17,10,13,17,0,0.23301801881373654,0.18164482113277544,0.6637139552239144,0.018280693723469132,111,30,0.75,48,3.7083333333333335,1.5,32.3,427,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,participants_only,,,30,17,0,13,17,0,0.25559114241137043,0.19811713012012339,0.6637139552239144,0.019160115376625254,111,30,1.0,48,3.7083333333333335,1.5,26.4,427,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,nonparticipants_only,,,10,0,10,0,0,0,0.16529864802083483,0.13030595751992813,0.5827936941773887,0.009527877856552097,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,step_totals,,,,,,,,,,,,,,,,,,,,,82.6000000000001,,,20.0,0.2421307506053266,50.0,0.6053268765133165,0.0,0.0,0.01512346459227068,0.06,0.07936507936507944,1,3,50,7,,40,50,38,6.000000000000003,0.07263922518159802,6.600000000000003,0.07990314769975781,30,33,35
15,B,all_agents,,,40,18,10,12,18,0,0.23767132108230735,0.18415331378012006,0.6771653970149578,0.0191516632088374,117,30,0.75,48,3.7083333333333335,1.5,31.975,460,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,participants_only,,,30,18,0,12,18,0,0.26154476626121903,0.20106994211175905,0.6771653970149578,0.020170250070409804,117,30,1.0,48,3.7083333333333335,1.5,25.966666666666665,460,,,,,,,,,,,,,,,,,,,,,,,,,,,
