step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.18170395714237367,0.154158760078694,0.5328874347141267,0.012379319330679876,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,step_totals,,,,,,,,,,,,,,,,,,,,,84.50000000000004,20.0,0.23668639053254426,3.700000000000002,0.04378698224852071,0.0,0.0,52.0,0.6153846153846151,0.01695462825849303,0.0,0.0,0,0,38,4,40,37,38,52,5.8000000000000025,0.06863905325443787,3.0000000000000004,0.035502958579881644,29,15,33
7,D,all_agents,,,40,6,10,24,6,0,0.19316046098634487,0.1608957213393037,0.5913401783917708,0.011435292996313911,20,16,0.4,0,0.0,0.0,32.4,192,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,participants_only,,,30,6,0,24,6,0,0.19675321813788985,0.1614680485750242,0.5913401783917708,0.011196814888878992,20,16,0.5333333333333333,0,0.0,0.0,26.533333333333335,192,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,nonparticipants_only,,,10,0,10,0,0,0,0.18238218953170993,0.15745919432208255,0.530222997540556,0.011995832471218935,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.80000000000007,20.0,0.2304147465437786,0.6,0.006912442396313358,0.0,0.0,58.0,0.668202764976958,0.016583453680891955,0.034482758620689655,0.0,0,2,26,20,40,6,36,58,5.600000000000002,0.06451612903225803,2.6,0.029953917050691222,28,13,30
8,D,all_agents,,,40,8,10,22,8,0,0.1976628805974968,0.16268444098561366,0.5883834774998119,0.011428028242602946,24,16,0.4,0,0.0,0.0,32.725,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,participants_only,,,30,8,0,22,8,0,0.202532434136871,0.1656488851972382,0.5883834774998119,0.01126752417656566,24,16,0.5333333333333333,0,0.0,0.0,26.966666666666665,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,nonparticipants_only,,,10,0,10,0,0,0,0.1830542199793741,0.15721382372354015,0.5275718825528533,0.011624989820640818,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.00000000000009,20.0,0.2409638554216865,0.4,0.00481927710843373,0.0,0.0,53.0,0.6385542168674693,0.014871268318632683,0.07547169811320754,0.0,0,4,44,13,40,4,38,53,6.400000000000003,0.07710843373493971,3.2000000000000006,0.03855421686746985,32,16,34
