step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,C,nonparticipants_only,,,10,0,10,0,0,0,0.16105648690573163,0.14570079018103743,0.4593622559666761,0.008893700871597096,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,step_totals,,,,,,,,,,,,,,,,,,,,,82.90000000000005,2.9000000000000012,0.03498190591073582,20.0,0.2412545235223159,50.0,0.6031363088057897,0.0,0.0,0.015659210139885707,0.08,0.0,0,4,6,33,29,40,50,40,6.200000000000003,0.07478890229191797,3.800000000000001,0.04583835946924004,31,19,31
7,C,all_agents,,,40,5,10,25,5,0,0.19560603467111554,0.166695944515164,0.6118737682372696,0.011765718861166138,36,20,0.5,0,0.0,0.0,32.55,194,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,participants_only,,,30,5,0,25,5,0,0.2068594736457465,0.18010711463883883,0.6118737682372696,0.012321212630956513,36,20,0.6666666666666666,0,0.0,0.0,26.733333333333334,194,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,nonparticipants_only,,,10,0,10,0,0,0,0.1618457177472227,0.14497228623013225,0.45706544468684274,0.008579558886726098,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.50000000000007,0.8999999999999999,0.01016949152542372,20.0,0.22598870056497156,57.0,0.644067796610169,0.0,0.0,0.015091216235275718,0.03508771929824561,0.0,0,2,12,29,9,40,57,40,6.800000000000003,0.07683615819209037,3.800000000000001,0.04293785310734461,34,19,33
8,C,all_agents,,,40,5,10,25,5,0,0.20066527612071958,0.17305951990061152,0.620849145906675,0.011902343722856285,38,21,0.525,0,0.0,0.0,33.025,221,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,participants_only,,,30,5,0,25,5,0,0.21334471520541623,0.18570059133856576,0.620849145906675,0.012466101205256376,38,21,0.7,0,0.0,0.0,27.366666666666667,221,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,nonparticipants_only,,,10,0,10,0,0,0,0.1626269588666297,0.14424742479898156,0.4547801174634085,0.008281853169625618,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.00000000000009,0.2,0.002325581395348835,20.0,0.2325581395348835,55.0,0.6395348837209296,0.0,0.0,0.015843375346118918,0.03636363636363636,0.0,0,2,13,38,2,40,55,39,6.800000000000003,0.07906976744186042,4.000000000000001,0.04651162790697671,34,20,32
9,C,all_agents,,,40,5,10,25,5,0,0.20573200838465364,0.17435629550272622,0.6360151800704079,0.012127844621547538,44,23,0.575,0,0.0,0.0,32.825,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,participants_only,,,30,5,0,25,5,0,0.21984222502453868,0.19224818454428044,0.6360151800704079,0.01270872802565478,44,23,0.7666666666666667,0,0.0,0.0,27.1,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,nonparticipants_only,,,10,0,10,0,0,0,0.1634013584649984,0.1454930887223353,0.4525062168760915,0.007996015845731938,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,step_totals,,,,,,,,,,,,,,,,,,,,,89.20000000000009,0.2,0.002242152466367711,20.0,0.2242152466367711,58.0,0.6502242152466361,0.0,0.0,0.015271895387895524,0.10344827586206896,0.0,0,6,12,30,2,40,58,40,6.800000000000003,0.0762331838565022,4.200000000000001,0.047085201793721936,34,21,36
10,C,all_agents,,,40,8,10,22,8,0,0.2112024642305691,0.17636084171750221,0.6505745728675916,0.012705696640138334,51,23,0.575,0,0.0,0.0,32.6,283,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,participants_only,,,30,8,0,22,8,0,0.22688051269418558,0.20170187227611797,0.6505745728675916,0.013382848839281456,51,23,0.7666666666666667,0,0.0,0.0,26.8,283,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,nonparticipants_only,,,10,0,10,0,0,0,0.16416831883971963,0.1452130626445528,0.45024368579171103,0.0077246255991788755,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.20000000000009,,,20.0,0.22935779816513738,56.0,0.6422018348623847,0.0,0.0,0.016710434780658288,0.125,0.0,0,7,12,37,,40,56,38,6.600000000000003,0.07568807339449538,4.600000000000001,0.05275229357798161,33,23,32
10,C,reachability,0.45,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,all_agents,,,40,9,10,21,9,0,0.21614766236655777,0.1786528107816185,0.6645515899528879,0.01323979423209479,58,26,0.65,0,0.0,0.0,32.225,313,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,participants_only,,,30,9,0,21,9,0,0.23322037658014183,0.20655442282870867,0.6645515899528879,0.014000125599579753,58,26,0.8666666666666667,0,0.0,0.0,26.3,313,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,nonparticipants_only,,,10,0,10,0,0,0,0.16492951972580552,0.14591910809918146,0.4479924673627525,0.007461069282215314,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.30000000000008,,,19.5,0.2233676975945015,57.0,0.6529209621993121,0.0,0.0,0.01531583453398419,0.12280701754385964,0.0,0,7,13,30,,39,57,39,6.200000000000003,0.07101947308132872,4.600000000000001,0.05269186712485678,31,23,40
12,C,all_agents,,,40,10,10,20,10,0,0.22103350550114925,0.17793381350053294,0.6779695263547724,0.013734932920695353,63,26,0.65,0,0.0,0.0,32.15,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C,participants_only,,,30,10,0,20,10,0,0.2394834586772802,0.20774403960945104,0.6779695263547724,0.014548191688138635,63,26,0.8666666666666667,0,0.0,0.0,26.2,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C,nonparticipants_only,,,10,0,10,0,0,0,0.1656836459727564,0.14790846296795973,0.4457525050259387,0.007210347351948415,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C,step_totals,,,,,,,,,,,,,,,,,,,,,82.70000000000009,0.30000000000000004,0.003627569528415958,20.0,0.24183796856106382,50.0,0.6045949214026596,0.0,0.0,0.016095429186297357,0.1,0.0,0,5,6,47,3,40,50,39,7.200000000000004,0.08706166868198302,5.200000000000002,0.06287787182587662,36,26,41
13,C,all_agents,,,40,11,10,19,11,0,0.22656080322855926,0.1805897241591214,0.6908507453005814,0.014518014870292821,67,27,0.675,0,0.0,0.0,31.8,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,C,participants_only,,,30,11,0,19,11,0,0.24660365663487052,0.20821035766353893,0.6908507453005814,0.015428273209543352,67,27,0.9,0,0.0,0.0,25.733333333333334,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,C,nonparticipants_only,,,10,0,10,0,0,0,0.1664322430096254,0.14763221767469342,0.443523742500809,0.006966648180538622,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.90000000000008,,,19.5,0.2218430034129691,57.0,0.648464163822525,0.0,0.0,0.016807080825982333,0.07017543859649122,0.0,0,4,12,29,,39,57,39,6.200000000000003,0.07053469852104662,5.200000000000002,0.05915813424345845,31,26,40
14,C,all_agents,,,40,15,10,15,15,0,0.2313070833817755,0.1820440287261888,0.7032167154885581,0.015298810011472635,72,28,0.7,0,0.0,0.0,31.725,418,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,C,participants_only,,,30,15,0,15,15,0,0.2526843644952222,0.21164718956137593,0.7032167154885581,0.01632707860439867,72,28,0.9333333333333333,0,0.0,0.0,25.633333333333333,418,,,,,,,,,,,,,,,,,,,,,,,,,,,
