step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.19046549512194783,0.15018816909210764,0.6042655221701153,0.0186836664499894,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,step_totals,,,,,,,,,,,,,,,,,,,,,84.30000000000007,3.1000000000000014,0.03677342823250295,20.0,0.2372479240806641,51.0,0.6049822064056934,0.0,0.0,0.015324072404945472,0.0392156862745098,0.0,0,2,29,3,31,40,51,40,6.800000000000003,0.08066429418742584,3.400000000000001,0.040332147093712904,34,17,31
7,D,all_agents,,,40,9,10,21,9,0,0.20776622288417732,0.17575900209372566,0.6012441945592647,0.014412067029521455,30,19,0.475,0,0.0,0.0,32.725,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,participants_only,,,30,9,0,21,9,0,0.2133198812118927,0.19363704555126598,0.5676550704968409,0.013029932334458283,30,19,0.6333333333333333,0,0.0,0.0,26.966666666666665,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,nonparticipants_only,,,10,0,10,0,0,0,0.19110524790103114,0.14943722824664712,0.6012441945592647,0.018188353664858943,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.90000000000009,0.7,0.007874015748031487,20.0,0.22497187851518538,58.0,0.6524184476940376,0.0,0.0,0.015627545868837755,0.05172413793103448,0.0,0,3,26,13,7,40,58,38,6.400000000000003,0.07199100112485936,3.800000000000001,0.04274465691788523,32,19,30
8,D,all_agents,,,40,10,10,20,10,0,0.21242001815740175,0.1825351120432387,0.5982379735864684,0.014579911289851094,33,19,0.475,0,0.0,0.0,33.15,216,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,participants_only,,,30,10,0,20,10,0,0.21931469836150974,0.19483805939811777,0.5648167951443568,0.013343329440784948,33,19,0.6333333333333333,0,0.0,0.0,27.533333333333335,216,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,nonparticipants_only,,,10,0,10,0,0,0,0.19173597754507782,0.14869004210541387,0.5982379735864684,0.017719217455646512,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.1000000000001,0.5,0.005807200929152143,20.0,0.2322880371660857,55.0,0.6387921022067357,0.0,0.0,0.01479036502313051,0.05454545454545454,0.0,0,3,34,12,5,40,55,38,6.800000000000003,0.07897793263646917,3.800000000000001,0.04413472706155629,34,19,35
9,D,all_agents,,,40,12,10,18,12,0,0.2174965348489799,0.18816738830853175,0.595246783718536,0.014972346697234523,38,22,0.55,0,0.0,0.0,32.75,246,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,participants_only,,,30,12,0,18,12,0,0.22587558420020026,0.19604745514438185,0.5822241233385825,0.013925872507832684,38,22,0.7333333333333333,0,0.0,0.0,27.0,246,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,nonparticipants_only,,,10,0,10,0,0,0,0.19235938679531886,0.1479465918948868,0.595246783718536,0.017269267649077803,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.50000000000007,0.30000000000000004,0.0033519553072625676,20.0,0.2234636871508378,59.0,0.6592178770949716,0.0,0.0,0.015310962091110878,0.0847457627118644,0.0,0,5,28,15,3,40,59,37,6.600000000000003,0.07374301675977651,3.600000000000001,0.040223463687150816,33,18,31
10,D,all_agents,,,40,12,10,18,12,0,0.2219604965280598,0.1902356796267011,0.5922705497999433,0.015259472597159887,43,22,0.55,0,0.0,0.0,32.525,271,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,participants_only,,,30,12,0,18,12,0,0.2316218120074911,0.2009036196808064,0.5866755811152394,0.014361187950446311,43,22,0.7333333333333333,0,0.0,0.0,26.7,271,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,nonparticipants_only,,,10,0,10,0,0,0,0.192976550089766,0.14720685893541235,0.5922705497999433,0.016834234335783432,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.5000000000001,0.1,0.0011560693641618485,20.0,0.2312138728323697,55.0,0.6358381502890166,0.0,0.0,0.014228402136196774,0.09090909090909091,0.0,0,5,36,12,1,40,55,38,7.0000000000000036,0.08092485549132943,4.400000000000001,0.05086705202312134,35,22,37
10,D,reachability,0.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,all_agents,,,40,12,10,18,12,0,0.22719593284342549,0.19199792818150369,0.6032085578706299,0.015856885868059487,50,24,0.6,0,0.0,0.0,32.125,305,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,participants_only,,,30,12,0,18,12,0,0.2383988440851482,0.2062688843441577,0.6032085578706299,0.015168832722600889,50,24,0.8,0,0.0,0.0,26.166666666666668,305,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,nonparticipants_only,,,10,0,10,0,0,0,0.19358719911825728,0.1464708246407353,0.5893091970509436,0.016414982660956274,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,step_totals,,,,,,,,,,,,,,,,,,,,,90.8000000000001,,,20.0,0.2202643171806165,60.0,0.6607929515418495,0.0,0.0,0.015530575397518563,0.11666666666666667,0.0,0,7,26,14,,40,60,37,6.600000000000003,0.07268722466960348,4.200000000000001,0.04625550660792948,33,21,33
12,D,all_agents,,,40,12,10,18,12,0,0.23175510141882472,0.19312142237042004,0.6071764722919236,0.01637343471164536,54,26,0.65,0,0.0,0.0,32.1,336,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,participants_only,,,30,12,0,18,12,0,0.24427628548553307,0.20756455912116797,0.6071764722919236,0.015867249090598157,54,26,0.8666666666666667,0,0.0,0.0,26.133333333333333,336,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,nonparticipants_only,,,10,0,10,0,0,0,0.1941915492186997,0.14822978905323408,0.586362651065689,0.016010630969598275,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,step_totals,,,,,,,,,,,,,,,,,,,,,81.10000000000008,0.1,0.0012330456226880384,20.0,0.24660912453760764,49.0,0.6041923551171388,0.0,0.0,0.015581928597562921,0.08163265306122448,0.0,0,4,50,5,1,40,49,37,7.200000000000004,0.0887792848335388,4.800000000000002,0.05918618988902585,36,24,43
