step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.15781821990476408,0.11192396443304108,0.5278582922451025,0.012014469977447673,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,80.70000000000007,3.0000000000000013,0.03717472118959106,19.5,0.2416356877323418,47.0,0.5824039653035931,0.0,0.0,0.016218014907573103,0.1702127659574468,0.5633802816901418,8,8,6,25,30,39,47,38,5.8000000000000025,0.07187112763320938,5.400000000000002,0.0669144981412639,29,27,31
7,B,all_agents,,,40,6,10,24,6,0,0.1921848200531107,0.15658157854216528,0.525219000783877,0.012861434932957232,95,29,0.725,54,2.6666666666666665,1.6851851851851851,32.3,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,participants_only,,,30,6,0,24,6,0,0.20336724826818475,0.17884976254351526,0.5226351318715738,0.012773202613199343,95,29,0.9666666666666667,54,2.6666666666666665,1.6851851851851851,26.4,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,nonparticipants_only,,,10,0,10,0,0,0,0.15863753540788839,0.11355473635800814,0.525219000783877,0.011625571482807477,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.60000000000008,1.0999999999999999,0.012557077625570763,19.5,0.2226027397260272,56.0,0.6392694063926935,0.0,0.0,0.016751235355974118,0.14285714285714285,0.16528925619834725,2,8,11,17,11,39,56,35,5.8000000000000025,0.06621004566210043,5.200000000000002,0.059360730593607275,29,26,26
8,B,all_agents,,,40,9,10,21,9,0,0.19785713481993758,0.16536942376235303,0.5417297265967109,0.013150760446940994,103,29,0.725,55,2.7454545454545456,1.709090909090909,32.375,254,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,participants_only,,,30,9,0,21,9,0,0.21066001485906677,0.18783356687245994,0.5417297265967109,0.01312706092223733,103,29,0.9666666666666667,55,2.7454545454545456,1.709090909090909,26.5,254,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,nonparticipants_only,,,10,0,10,0,0,0,0.1594484947025501,0.115100342154768,0.5225929057799575,0.011254894173495998,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.30000000000008,0.6,0.006795016987542462,19.5,0.22083805209513002,56.0,0.6342015855039632,0.0,0.0,0.017074701423482004,0.125,0.07812500000000008,1,7,6,33,6,39,56,38,5.8000000000000025,0.0656851642129105,6.400000000000003,0.07248018120045296,29,32,33
9,B,all_agents,,,40,10,10,20,10,0,0.20313091432277655,0.16873837599266844,0.5600605375328425,0.013481549733550495,106,29,0.725,55,2.7454545454545456,1.709090909090909,32.25,284,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,participants_only,,,30,10,0,20,10,0,0.21742362507612525,0.19220542476462166,0.5600605375328425,0.013526368957680699,106,29,0.9666666666666667,55,2.7454545454545456,1.709090909090909,26.333333333333332,284,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,nonparticipants_only,,,10,0,10,0,0,0,0.16025278206273055,0.11472122001224075,0.5199799412510577,0.010895713093013222,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.6000000000001,0.1,0.0011037527593818974,19.5,0.21523178807946997,59.0,0.6512141280353194,0.0,0.0,0.015587418135476136,0.05084745762711865,0.0,0,3,10,20,1,39,59,36,5.8000000000000025,0.06401766004415008,6.200000000000003,0.06843267108167767,29,31,34
10,B,all_agents,,,40,10,10,20,10,0,0.20828018100279602,0.17096899942920218,0.5776581160315287,0.013991045783308351,110,30,0.75,57,2.912280701754386,1.6842105263157894,32.175,316,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,participants_only,,,30,10,0,20,10,0,0.22402370292313156,0.1933603510877786,0.5776581160315287,0.01414622923862243,110,30,1.0,57,2.912280701754386,1.6842105263157894,26.233333333333334,316,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,nonparticipants_only,,,10,0,10,0,0,0,0.1610496152417893,0.11414761391217954,0.5173800415448024,0.010551193627893073,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.1000000000001,,,18.5,0.21239954075774947,57.0,0.6544202066590119,0.0,0.0,0.015896589994958365,0.03508771929824561,0.17241379310344843,2,2,12,36,,37,57,36,5.8000000000000025,0.06659012629161878,5.8000000000000025,0.06659012629161878,29,29,32
10,B,reachability,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,all_agents,,,40,10,10,20,10,0,0.2135506168047512,0.1769965236601029,0.5945517913902676,0.014516974862721022,113,30,0.75,58,3.0344827586206895,1.706896551724138,32.025,349,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,participants_only,,,30,10,0,20,10,0,0.23078766619714702,0.19658729277540676,0.5945517913902676,0.014761026734443947,113,30,1.0,58,3.0344827586206895,1.706896551724138,26.033333333333335,349,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,nonparticipants_only,,,10,0,10,0,0,0,0.16183946862756365,0.11434730645082172,0.5147931413370784,0.010219428786481527,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,step_totals,,,,,,,,,,,,,,,,,,,,,89.20000000000009,0.1,0.0011210762331838554,19.5,0.2186098654708518,58.0,0.6502242152466361,0.0,0.0,0.01584137947475885,0.034482758620689655,0.08547008547008553,1,2,12,21,1,39,58,35,6.000000000000003,0.06726457399103135,5.600000000000002,0.06278026905829592,30,28,34
12,B,all_agents,,,40,11,10,19,11,0,0.2186751156678691,0.1809343100616912,0.5915790324333162,0.015148016936268213,121,30,0.75,59,3.169491525423729,1.694915254237288,31.8,383,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,participants_only,,,30,11,0,19,11,0,0.2373591153839411,0.2020629318636122,0.5915790324333162,0.015501888302940503,121,30,1.0,59,3.169491525423729,1.694915254237288,25.733333333333334,383,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,nonparticipants_only,,,10,0,10,0,0,0,0.16262311651965294,0.11715734301422058,0.512219175630393,0.009897300691569182,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.0000000000001,0.2,0.002298850574712641,19.0,0.2183908045977009,56.0,0.6436781609195394,0.0,0.0,0.015890373107396154,0.125,0.08333333333333341,1,7,9,39,2,38,56,37,6.000000000000003,0.06896551724137927,5.8000000000000025,0.06666666666666662,30,29,34
13,B,all_agents,,,40,13,10,17,13,0,0.22374782562319312,0.18662563774665514,0.6066705688141483,0.015756221091582905,129,30,0.75,59,3.169491525423729,1.694915254237288,31.575,416,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,participants_only,,,30,13,0,17,13,0,0.24386385891483064,0.20751993976797253,0.6066705688141483,0.01619359622608519,129,30,1.0,59,3.169491525423729,1.694915254237288,25.433333333333334,416,,,,,,,,,,,,,,,,,,,,,,,,,,,
