step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
6,A,nonparticipants_only,,,10,0,10,0,0,0,0.1697403584452312,0.14618143867899952,0.502889720389507,0.009643859724048846,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.00000000000006,2.800000000000001,0.03373493975903614,49.0,0.5903614457831321,20.0,0.24096385542168658,0.0,0.0,0.015845559900260035,0.04081632653061224,0.2857142857142861,4,2,5,17,28,49,40,38,6.000000000000003,0.07228915662650601,5.200000000000002,0.06265060240963853,30,26,29
7,A,all_agents,,,40,11,10,19,11,0,0.20037037758905427,0.16660823260086557,0.6574282911074079,0.013962063141229126,85,30,0.75,46,2.391304347826087,1.4130434782608696,33.45,227,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,participants_only,,,30,11,0,19,11,0,0.2103309965021582,0.17905706257471204,0.6574282911074079,0.015123780114266126,85,30,1.0,46,2.391304347826087,1.4130434782608696,27.933333333333334,227,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,nonparticipants_only,,,10,0,10,0,0,0,0.17048852084974253,0.14545053148560452,0.5003752717875595,0.009286345072533123,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.50000000000009,0.8999999999999999,0.010404624277456635,54.0,0.6242774566473982,20.0,0.23121387283236972,0.0,0.0,0.015758688834335573,0.14814814814814814,0.16000000000000017,2,8,10,18,9,54,40,38,6.000000000000003,0.06936416184971095,5.600000000000002,0.06473988439306355,30,28,32
8,A,all_agents,,,40,14,10,16,14,0,0.20599532967925377,0.16862868914012086,0.6541411496518709,0.014311688299498661,90,30,0.75,47,2.4893617021276597,1.4042553191489362,33.85,261,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,participants_only,,,30,14,0,16,14,0,0.21758412975974928,0.18248402113237006,0.6541411496518709,0.015563059172974725,90,30,1.0,47,2.4893617021276597,1.4042553191489362,28.466666666666665,261,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,nonparticipants_only,,,10,0,10,0,0,0,0.1712289294377672,0.1447232788281765,0.4978733954286217,0.008945972231402154,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.6000000000001,0.2,0.002257336343115122,57.0,0.6433408577878097,20.0,0.22573363431151217,0.0,0.0,0.01688978801458958,0.07017543859649122,0.08620689655172421,1,4,12,25,2,57,40,37,6.000000000000003,0.06772009029345369,5.400000000000002,0.06094808126410831,30,27,30
9,A,all_agents,,,40,15,10,15,15,0,0.21120828735817568,0.17607004328620504,0.667975503665796,0.014801554442583128,97,30,0.75,48,2.6041666666666665,1.4166666666666667,33.45,292,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,participants_only,,,30,15,0,15,15,0,0.22429057839479394,0.18497904021205738,0.667975503665796,0.016176367130128124,97,30,1.0,48,2.6041666666666665,1.4166666666666667,27.933333333333334,292,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,nonparticipants_only,,,10,0,10,0,0,0,0.17196141424832098,0.1439996624340356,0.49538402845147855,0.008623360314746755,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.5000000000001,0.1,0.0011049723756906065,59.0,0.6519337016574579,20.0,0.22099447513812132,0.0,0.0,0.0153945202453196,0.1016949152542373,0.0869565217391305,1,6,12,20,1,59,40,38,6.000000000000003,0.06629834254143642,5.400000000000002,0.059668508287292775,30,27,34
10,A,all_agents,,,40,15,10,15,15,0,0.2161912240633068,0.17776144351552847,0.6646356261474671,0.015349057941543733,103,30,0.75,48,2.6041666666666665,1.4166666666666667,33.1,322,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,participants_only,,,30,15,0,15,15,0,0.2306927826960938,0.18517620554464048,0.6646356261474671,0.01685218021428049,103,30,1.0,48,2.6041666666666665,1.4166666666666667,27.466666666666665,322,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,nonparticipants_only,,,10,0,10,0,0,0,0.17268654816494572,0.14327966412186544,0.49290710830922113,0.00831614868997154,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.20000000000009,,,58.0,0.6502242152466361,20.0,0.2242152466367711,0.0,0.0,0.015046416619919472,0.10344827586206896,0.0,0,6,14,22,,58,40,37,6.000000000000003,0.06726457399103135,5.200000000000002,0.058295964125560505,30,26,31
10,A,reachability,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,all_agents,,,40,15,10,15,15,0,0.22126401621547123,0.1792022903826102,0.6780502011015684,0.016108293198947923,109,30,0.75,48,2.6041666666666665,1.4166666666666667,32.7,355,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,participants_only,,,30,15,0,15,15,0,0.23721731612015323,0.18802817274834485,0.6780502011015684,0.01778463125772095,109,30,1.0,48,2.6041666666666665,1.4166666666666667,26.933333333333334,355,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,nonparticipants_only,,,10,0,10,0,0,0,0.1734041165014252,0.1425632658012561,0.490442572767675,0.008025185688444124,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.30000000000008,0.1,0.001107419712070874,59.0,0.6533776301218156,20.0,0.22148394241417477,0.0,0.0,0.015068492545103949,0.1016949152542373,0.0,0,6,13,18,1,59,40,37,6.000000000000003,0.06644518272425246,5.200000000000002,0.057585825027685465,30,26,33
12,A,all_agents,,,40,18,10,12,18,0,0.226235060100164,0.1815792824519568,0.6746599500960606,0.016789843154118952,114,30,0.75,49,2.7755102040816326,1.4285714285714286,32.325,389,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,participants_only,,,30,18,0,12,18,0,0.2436086297738773,0.18997881236161362,0.6746599500960606,0.018595961974872833,114,30,1.0,49,2.7755102040816326,1.4285714285714286,26.433333333333334,389,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,nonparticipants_only,,,10,0,10,0,0,0,0.1741143510790241,0.14399199664681392,0.4879903599038366,0.007749395613368869,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.3000000000001,0.1,0.0011587485515643092,54.0,0.625724217844727,20.0,0.23174971031286185,0.0,0.0,0.01563643720153607,0.07407407407407407,0.08130081300813016,1,4,8,34,1,54,40,36,6.000000000000003,0.06952491309385858,6.200000000000003,0.0718424101969872,30,31,37
13,A,all_agents,,,40,19,10,11,19,0,0.2318223717463458,0.18301087249722192,0.6876735520922181,0.017585018011070364,120,30,0.75,49,2.7755102040816326,1.4285714285714286,31.925,430,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,participants_only,,,30,19,0,11,19,0,0.2508237209636008,0.19485826830163377,0.6876735520922181,0.019507611356331625,120,30,1.0,49,2.7755102040816326,1.4285714285714286,25.9,430,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,nonparticipants_only,,,10,0,10,0,0,0,0.17481832409458073,0.1466602281819651,0.48555040810431743,0.007484622710373645,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.1000000000001,,,59.0,0.6548279689234178,19.5,0.21642619311875672,0.0,0.0,0.016560607518115257,0.1016949152542373,0.0,0,6,12,17,,59,39,37,6.000000000000003,0.06659267480577133,5.600000000000002,0.062153163152053235,30,28,37
14,A,all_agents,,,40,20,10,10,20,0,0.2363956302379772,0.1857859641930199,0.684235184331757,0.018320864982170545,126,30,0.75,50,2.98,1.44,31.8,462,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,participants_only,,,30,20,0,10,20,0,0.2566889954411372,0.1967439587955394,0.684235184331757,0.020369604761173783,126,30,1.0,50,2.98,1.44,25.733333333333334,462,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,nonparticipants_only,,,10,0,10,0,0,0,0.17551553462849723,0.14946249620029295,0.48312265606379584,0.007232797589934936,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.70000000000009,,,54.0,0.6301050175029165,19.5,0.2275379229871643,0.0,0.0,0.014632643162207103,0.09259259259259259,0.08196721311475418,1,5,9,34,,54,39,37,6.000000000000003,0.0700116686114352,6.200000000000003,0.07234539089848303,30,31,35
15,A,all_agents,,,40,20,10,10,20,0,0.24091153292268436,0.18777828037889993,0.6968657769584867,0.01917460371441523,130,30,0.75,50,2.98,1.44,31.575,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,participants_only,,,30,20,0,10,20,0,0.2624798839187338,0.20450061347729276,0.6968657769584867,0.02137472390069195,130,30,1.0,50,2.98,1.44,25.433333333333334,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,nonparticipants_only,,,10,0,10,0,0,0,0.17620647993453611,0.15165510285217362,0.48070704278347687,0.006991917979319642,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.6000000000001,0.1,0.001141552511415524,56.0,0.6392694063926934,19.5,0.22260273972602715,0.0,0.0,0.014136307568230411,0.07142857142857142,0.0,0,4,10,21,1,56,39,37,6.000000000000003,0.06849315068493146,6.000000000000003,0.06849315068493146,30,30,41
16,A,all_agents,,,40,22,10,8,22,0,0.24538544619962885,0.19127895116253946,0.6933814480736943,0.020001544725514613,135,30,0.75,50,2.98,1.44,31.575,530,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,participants_only,,,30,22,0,8,22,0,0.26821680012726634,0.20534819471051138,0.6933814480736943,0.02232988702666485,135,30,1.0,50,2.98,1.44,25.433333333333334,530,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,nonparticipants_only,,,10,0,10,0,0,0,0.1768913844167164,0.15464713167109914,0.47830350756955947,0.006761269156035322,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,step_totals,,,,,,,,,,,,,,,,,,,,,81.50000000000009,0.1,0.0012269938650306736,51.0,0.6257668711656436,19.0,0.23312883435582799,0.0,0.0,0.015193168825033514,0.09803921568627451,0.0,0,5,11,41,1,51,38,34,5.8000000000000025,0.07116564417177909,5.600000000000002,0.06871165644171774,29,28,36
17,A,all_agents,,,40,25,10,5,24,1,0.2497842637151017,0.19387888629744005,0.7056461901507465,0.02090583472053799,138,30,0.75,50,2.98,1.44,31.3,564,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,participants_only,,,30,25,0,5,24,1,0.27385547547546374,0.20796921977836041,0.7056461901507465,0.02337699142082675,138,30,1.0,50,2.98,1.44,25.066666666666666,564,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,nonparticipants_only,,,10,0,10,0,0,0,0.17757062843401542,0.15443863022562226,0.4759119900317117,0.006539285792325368,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.7000000000001,,,56.0,0.6385404789053585,19.5,0.2223489167616873,0.0,0.0,0.013847390976246396,0.05357142857142857,0.0,0,3,9,23,,56,39,38,6.000000000000003,0.06841505131128843,6.200000000000003,0.07069555302166472,30,31,45
18,A,all_agents,,,40,26,10,4,25,1,0.25428822803048734,0.19482936076439739,0.7021179591999928,0.021958480158757215,143,30,0.75,50,2.98,1.44,31.35,603,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,participants_only,,,30,26,0,4,25,1,0.2796363304735448,0.21441020084064788,0.7021179591999928,0.024598810606586405,143,30,1.0,50,2.98,1.44,25.133333333333333,603,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,nonparticipants_only,,,10,0,10,0,0,0,0.17824392070131498,0.1543082891202258,0.47353243008155316,0.006327173245704819,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,step_totals,,,,,,,,,,,,,,,,,,,,,81.80000000000008,,,51.0,0.6234718826405862,19.0,0.2322738386308066,0.0,0.0,0.01524153336416276,0.09803921568627451,0.0,0,5,10,41,,51,38,33,5.8000000000000025,0.07090464547677258,6.000000000000003,0.0733496332518337,29,30,35
19,A,all_agents,,,40,28,10,2,27,1,0.2585148795564211,0.20008803462952762,0.714033240831993,0.02295761944834057,147,30,0.75,50,2.98,1.44,31.125,638,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,participants_only,,,30,28,0,2,27,1,0.28504914696663347,0.21421462718995987,0.714033240831993,0.02575327903997776,147,30,1.0,50,2.98,1.44,24.833333333333332,638,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,nonparticipants_only,,,10,0,10,0,0,0,0.17891207732578396,0.15604328420603408,0.47116476793114537,0.0061218325094690934,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.5000000000001,,,56.0,0.6399999999999992,19.5,0.22285714285714261,0.0,0.0,0.013423145460315531,0.07142857142857142,0.0,0,4,10,22,,56,39,37,6.000000000000003,0.06857142857142852,6.000000000000003,0.06857142857142852,30,30,45
20,A,all_agents,,,40,28,10,2,27,1,0.26265213530269926,0.1997777874449701,0.7104630746278331,0.02403263752686447,157,30,0.75,50,2.98,1.44,31.2,676,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,participants_only,,,30,28,0,2,27,1,0.2903447218898387,0.216893696224591,0.7104630746278331,0.027000639041481752,157,30,1.0,50,2.98,1.44,24.933333333333334,676,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,nonparticipants_only,,,10,0,10,0,0,0,0.17957437554128103,0.15588659205391892,0.46880894409148965,0.005926080760378065,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,step_totals,,,,,,,,,,,,,,,,,,,,,80.6000000000001,,,51.0,0.6327543424317611,18.0,0.2233250620347392,0.0,0.0,0.014425746581703222,0.19607843137254902,0.0,0,10,11,41,,51,36,32,5.8000000000000025,0.07196029776674932,5.8000000000000025,0.07196029776674932,29,29,33
20,A,reachability,0.175,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,all_agents,,,40,29,10,1,28,1,0.26703972490019934,0.20191663016809358,0.7220445516427197,0.025123831466747727,162,30,0.75,50,2.98,1.44,31.075,716,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,participants_only,,,30,29,0,1,28,1,0.2959758997917475,0.22228789061508036,0.7220445516427197,0.028236449455336213,162,30,1.0,50,2.98,1.44,24.766666666666666,716,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,nonparticipants_only,,,10,0,10,0,0,0,0.18023120022555494,0.15616139486078123,0.4664648993710322,0.005738350892731136,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.3000000000001,,,55.0,0.6373117033603701,19.5,0.2259559675550403,0.0,0.0,0.014107922898238078,0.09090909090909091,0.0,0,5,11,23,,55,39,36,6.000000000000003,0.06952491309385858,5.8000000000000025,0.06720741599072996,30,29,46
22,A,all_agents,,,40,29,10,1,27,2,0.2709496685177241,0.20297450064550165,0.7235481253853021,0.026308962379523893,168,30,0.75,51,3.3137254901960786,1.4313725490196079,31.2,755,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,participants_only,,,30,29,0,1,27,2,0.3009717660090317,0.2270649999971575,0.7235481253853021,0.029621421250541007,168,30,1.0,51,3.3137254901960786,1.4313725490196079,24.933333333333334,755,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,nonparticipants_only,,,10,0,10,0,0,0,0.1808833760438015,0.15726304332147292,0.46413257487417703,0.005555669713141655,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,step_totals,,,,,,,,,,,,,,,,,,,,,79.40000000000008,,,51.0,0.6423173803526442,17.0,0.2141057934508814,0.0,0.0,0.013992222789897455,0.09803921568627451,0.0877192982456141,1,5,12,40,,51,34,31,5.8000000000000025,0.07304785894206545,5.600000000000002,0.07052896725440802,29,28,31
23,A,all_agents,,,40,30,10,0,28,2,0.27505841524167846,0.20718138231683636,0.73460620036989,0.027368951274664252,173,30,0.75,51,3.3137254901960786,1.4313725490196079,31.0,794,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,participants_only,,,30,30,0,0,28,2,0.3062343757287803,0.23397072788139986,0.73460620036989,0.030811028584853184,173,30,1.0,51,3.3137254901960786,1.4313725490196079,24.666666666666668,794,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,nonparticipants_only,,,10,0,10,0,0,0,0.18153053378037262,0.15975824464319735,0.46181191199980615,0.005379433196577359,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.90000000000009,,,56.0,0.6519208381839341,18.5,0.21536670547147824,0.0,0.0,0.013420630463821762,0.08928571428571429,0.0,0,5,13,22,,56,37,34,6.000000000000003,0.06984866123399297,5.400000000000002,0.06286379511059367,30,27,43
24,A,all_agents,,,40,30,10,0,28,2,0.2786629065234213,0.20785361166434518,0.7452219523550944,0.028490731937438764,176,30,0.75,51,3.3137254901960786,1.4313725490196079,31.15,831,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,participants_only,,,30,30,0,0,28,2,0.3108261405888857,0.23411885413775463,0.7452219523550944,0.03211382397409307,176,30,1.0,51,3.3137254901960786,1.4313725490196079,24.866666666666667,831,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,nonparticipants_only,,,10,0,10,0,0,0,0.18217320432702808,0.16113553600549718,0.4595028524398071,0.005207772320877652,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,step_totals,,,,,,,,,,,,,,,,,,,,,79.50000000000007,,,51.0,0.6415094339622636,17.5,0.22012578616352182,0.0,0.0,0.013076791611037312,0.058823529411764705,0.0,0,3,14,40,,51,35,31,5.8000000000000025,0.07295597484276727,5.200000000000002,0.06540880503144651,29,26,32
25,A,all_agents,,,40,30,10,0,27,3,0.28239125316446334,0.21250577265526116,0.7554130742608905,0.029548893940589013,181,30,0.75,52,3.7115384615384617,1.4230769230769231,30.975,868,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A,participants_only,,,30,30,0,0,27,3,0.31558469974341463,0.23623607586357154,0.7554130742608905,0.0333105223824625,181,30,1.0,52,3.7115384615384617,1.4230769230769231,24.633333333333333,868,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A,nonparticipants_only,,,10,0,10,0,0,0,0.1828109134276096,0.1615362223502238,0.45720533817760806,0.005042349865492252,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
