step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.18138007140562434,0.13906811332515023,0.6844604976001618,0.018288414517036576,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,80.80000000000007,20.0,0.24752475247524733,3.0000000000000013,0.03712871287128711,0.0,0.0,46.0,0.5693069306930688,0.014580206163154332,0.10869565217391304,0.5405405405405413,8,5,3,32,40,30,40,46,5.400000000000002,0.06683168316831681,6.400000000000003,0.07920792079207918,27,32,30
7,B,all_agents,,,40,8,10,22,8,0,0.19825755217327595,0.16417488224784202,0.681038195112161,0.014682435712134711,65,29,0.725,40,3.075,1.5,33.35,206,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,participants_only,,,30,8,0,22,8,0,0.20365588252121178,0.17406385535916236,0.5825597668571787,0.013515025055964221,65,29,0.9666666666666667,40,3.075,1.5,27.8,206,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,nonparticipants_only,,,10,0,10,0,0,0,0.1820625611294685,0.1416749264230901,0.681038195112161,0.017834964034100842,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,step_totals,,,,,,,,,,,,,,,,,,,,,89.5000000000001,20.0,0.22346368715083775,0.8999999999999999,0.010055865921787697,0.0,0.0,56.0,0.6256983240223457,0.015111793788167724,0.017857142857142856,0.3703703703703708,5,1,6,33,40,9,38,56,5.8000000000000025,0.06480446927374298,6.800000000000003,0.07597765363128486,29,34,33
8,B,all_agents,,,40,9,10,21,9,0,0.2030045161511253,0.17210157814393728,0.6776330041366002,0.014864516650997375,70,30,0.75,42,3.142857142857143,1.5,33.825,230,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,participants_only,,,30,9,0,21,9,0,0.20976011808687484,0.1782570523680678,0.5981197167372398,0.013837010285142242,70,30,1.0,42,3.142857142857143,1.5,28.433333333333334,230,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,nonparticipants_only,,,10,0,10,0,0,0,0.18273771034387679,0.14561356449394935,0.6776330041366002,0.017399377858391147,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,step_totals,,,,,,,,,,,,,,,,,,,,,91.00000000000011,20.0,0.2197802197802195,0.2,0.002197802197802195,0.0,0.0,58.0,0.6373626373626365,0.014159000326906021,0.05172413793103448,0.15384615384615402,2,3,5,38,40,2,39,58,5.8000000000000025,0.06373626373626369,7.0000000000000036,0.07692307692307687,29,35,34
9,B,all_agents,,,40,10,10,20,10,0,0.20767437036983463,0.17324706500673379,0.6742448391159173,0.015125949093076905,75,30,0.75,43,3.2093023255813953,1.4883720930232558,33.275,254,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,participants_only,,,30,10,0,20,10,0,0.2157637292191614,0.1830349527452596,0.6141949280677502,0.014246700751112288,75,30,1.0,43,3.2093023255813953,1.4883720930232558,27.7,254,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,nonparticipants_only,,,10,0,10,0,0,0,0.18340629382185433,0.14951103924742454,0.6742448391159173,0.016978441399852582,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,step_totals,,,,,,,,,,,,,,,,,,,,,91.60000000000011,20.0,0.21834061135371152,,,0.0,0.0,59.0,0.644104803493449,0.013868143117186335,0.06779661016949153,0.07936507936507944,1,4,7,38,40,,38,59,6.000000000000003,0.0655021834061135,6.600000000000003,0.07205240174672484,30,33,36
10,B,all_agents,,,40,13,10,17,13,0,0.21251195444525,0.17868712427841812,0.6708736149203377,0.015487920049810752,80,30,0.75,44,3.340909090909091,1.4772727272727273,32.8,281,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,participants_only,,,30,13,0,17,13,0,0.22199308626265693,0.18788295719871273,0.6296271309450402,0.014767273136765935,80,30,1.0,44,3.340909090909091,1.4772727272727273,27.066666666666666,281,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,nonparticipants_only,,,10,0,10,0,0,0,0.18406855899302912,0.1494958344285941,0.6708736149203377,0.016571158462476646,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,step_totals,,,,,,,,,,,,,,,,,,,,,92.20000000000012,20.0,0.2169197396963121,,,0.0,0.0,59.0,0.6399132321041207,0.01419637820270338,0.06779661016949153,0.07575757575757584,1,4,4,37,40,,39,59,6.000000000000003,0.06507592190889365,7.200000000000004,0.0780911062906724,30,36,34
10,B,reachability,0.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,all_agents,,,40,13,10,17,13,0,0.21758893056809367,0.1820011240995998,0.667519246845736,0.016039789775563303,86,30,0.75,45,3.422222222222222,1.4666666666666666,32.4,313,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,participants_only,,,30,13,0,17,13,0,0.2285436358629333,0.19178954057135983,0.6444420457072386,0.015514185074962723,86,30,1.0,45,3.422222222222222,1.4666666666666666,26.533333333333335,313,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,nonparticipants_only,,,10,0,10,0,0,0,0.18472481468357468,0.1487483552564511,0.667519246845736,0.016176537060203583,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,step_totals,,,,,,,,,,,,,,,,,,,,,91.1000000000001,20.0,0.2195389681668494,0.1,0.001097694840834247,0.0,0.0,58.0,0.6366630076838632,0.015050175914826765,0.08620689655172414,0.0763358778625955,1,5,5,36,40,1,39,58,6.000000000000003,0.06586169045005484,7.0000000000000036,0.07683863885839733,30,35,37
12,B,all_agents,,,40,13,10,17,13,0,0.22192883473922256,0.18852281065933768,0.6641816506115074,0.01660017422226842,89,30,0.75,47,3.74468085106383,1.5106382978723405,32.175,340,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,participants_only,,,30,13,0,17,13,0,0.23411335418856827,0.19784165909269635,0.6586643638789491,0.016275235707362414,89,30,1.0,47,3.74468085106383,1.5106382978723405,26.233333333333334,340,,,,,,,,,,,,,,,,,,,,,,,,,,,
