step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,A,nonparticipants_only,,,10,0,10,0,0,0,0.1619701808430459,0.13990048282090461,0.42474247612372984,0.007467198277536154,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,step_totals,,,,,,,,,,,,,,,,,,,,,78.30000000000007,3.4000000000000017,0.04342273307790548,44.0,0.5619412515964235,19.5,0.2490421455938695,0.0,0.0,0.016400105684886743,0.18181818181818182,0.6756756756756767,10,8,3,22,34,44,39,39,6.200000000000003,0.0791826309067688,5.200000000000002,0.0664112388250319,31,26,26
7,A,all_agents,,,40,10,10,20,10,0,0.2058034275040423,0.16946299467633916,0.7273303415182538,0.014213183375744105,74,29,0.725,38,3.3157894736842106,1.7894736842105263,33.725,232,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,participants_only,,,30,10,0,20,10,0,0.22015190874604826,0.1874597105784148,0.7273303415182538,0.0157430529117764,74,29,0.9666666666666667,38,3.3157894736842106,1.7894736842105263,28.3,232,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,nonparticipants_only,,,10,0,10,0,0,0,0.16275798377802436,0.13920098040680007,0.4226187637431112,0.007153027800220848,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.90000000000006,0.6,0.0066006600660065955,59.0,0.6490649064906486,19.5,0.21452145214521437,0.0,0.0,0.017107532334583977,0.15254237288135594,0.4032258064516133,5,9,8,26,6,59,39,37,6.200000000000003,0.0682068206820682,5.600000000000002,0.06160616061606159,31,28,23
8,A,all_agents,,,40,9,10,21,9,0,0.2110940453988314,0.17533092216748639,0.7236936898106625,0.014442260928574282,85,29,0.725,43,3.697674418604651,1.930232558139535,33.825,263,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,participants_only,,,30,9,0,21,9,0,0.22694577184366366,0.19146877725694977,0.7236936898106625,0.015967515502004672,85,29,0.9666666666666667,43,3.697674418604651,1.930232558139535,28.433333333333334,263,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,nonparticipants_only,,,10,0,10,0,0,0,0.16353886606433463,0.13850497550476606,0.42050566992439564,0.006851170432901582,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.6000000000001,0.30000000000000004,0.0033482142857142825,57.0,0.6361607142857136,19.5,0.21763392857142835,0.0,0.0,0.015889596757995717,0.10526315789473684,0.3816793893129775,5,6,4,34,3,57,39,39,7.0000000000000036,0.07812499999999996,5.8000000000000025,0.06473214285714282,35,29,31
9,A,all_agents,,,40,12,10,18,12,0,0.21690566908322506,0.18464287984381866,0.7200752213616092,0.01489958923264668,92,29,0.725,44,3.7954545454545454,1.9318181818181819,33.4,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,participants_only,,,30,12,0,18,12,0,0.23443675632992406,0.19744051442929716,0.7200752213616092,0.01644897133915844,92,29,0.9666666666666667,44,3.7954545454545454,1.9318181818181819,27.866666666666667,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,nonparticipants_only,,,10,0,10,0,0,0,0.16431240734312808,0.13935202265488644,0.41840314157477365,0.006563374672494936,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,step_totals,,,,,,,,,,,,,,,,,,,,,92.5000000000001,0.1,0.00108108108108108,60.0,0.6486486486486479,20.0,0.21621621621621598,0.0,0.0,0.01668191537449082,0.1,0.08000000000000008,1,6,6,25,1,60,40,38,6.600000000000003,0.0713513513513513,5.8000000000000025,0.06270270270270266,33,29,28
10,A,all_agents,,,40,12,10,18,11,1,0.2222568513222483,0.18946053613451877,0.7164748452548011,0.015377055675898532,103,29,0.725,48,4.1875,1.9583333333333333,32.975,335,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,participants_only,,,30,12,0,18,11,1,0.24131623566392532,0.1976401550902901,0.7164748452548011,0.01695327572172274,103,29,0.9666666666666667,48,4.1875,1.9583333333333333,27.3,335,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,nonparticipants_only,,,10,0,10,0,0,0,0.16507869829721716,0.13948516920608123,0.4163111258668998,0.006289273960620747,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.90000000000009,0.1,0.0011123470522803104,58.0,0.64516129032258,19.0,0.21134593993325895,0.0,0.0,0.016016542894805363,0.1206896551724138,0.3100775193798453,4,7,4,35,1,58,38,38,7.0000000000000036,0.07786429365962176,5.8000000000000025,0.06451612903225802,35,29,31
10,A,reachability,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,all_agents,,,40,13,10,17,12,1,0.2271711351281405,0.19238538655840778,0.712892471028527,0.015911514885080056,108,29,0.725,48,4.1875,1.9583333333333333,32.65,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,participants_only,,,30,13,0,17,12,1,0.2476154021848641,0.20447674971279928,0.712892471028527,0.01753465449114691,108,29,0.9666666666666667,48,4.1875,1.9583333333333333,26.866666666666667,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,nonparticipants_only,,,10,0,10,0,0,0,0.16583833395796965,0.14076887475755623,0.4142295702375653,0.006026479401039878,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,step_totals,,,,,,,,,,,,,,,,,,,,,92.2000000000001,,,60.0,0.6507592190889364,20.0,0.21691973969631212,0.0,0.0,0.014448954263968911,0.08333333333333333,0.0,0,5,8,26,,60,40,38,6.400000000000003,0.06941431670281992,5.8000000000000025,0.06290672451193054,32,29,31
12,A,all_agents,,,40,14,10,16,13,1,0.23230007541189393,0.19503347605033522,0.7243767721873859,0.016582483323700187,112,29,0.725,48,4.1875,1.9583333333333333,32.475,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,participants_only,,,30,14,0,16,13,1,0.25420286142506077,0.21410110775635222,0.7243767721873859,0.018266556889469272,112,29,0.9666666666666667,48,4.1875,1.9583333333333333,26.633333333333333,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,nonparticipants_only,,,10,0,10,0,0,0,0.16659171737239337,0.14472583120561505,0.41215842238637745,0.005773478204729998,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.6000000000001,,,55.0,0.635103926096997,19.0,0.21939953810623533,0.0,0.0,0.016030234129199496,0.07272727272727272,0.0,0,4,6,42,,55,38,37,6.800000000000003,0.07852193995381057,5.8000000000000025,0.06697459584295608,34,29,31
13,A,all_agents,,,40,21,10,9,20,1,0.2374284378763029,0.19610244112687047,0.720754888326449,0.017378583343608374,119,30,0.75,49,4.346938775510204,2.0,32.15,438,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,participants_only,,,30,21,0,9,20,1,0.26079201116824635,0.21691236613599552,0.720754888326449,0.019143109190456448,119,30,1.0,49,4.346938775510204,2.0,26.2,438,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,nonparticipants_only,,,10,0,10,0,0,0,0.16733771800047256,0.1464483704283382,0.41009763027444557,0.005534727119447984,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.8000000000001,,,59.0,0.6497797356828187,20.0,0.2202643171806165,0.0,0.0,0.015239459828174684,0.1016949152542373,0.08474576271186447,1,6,10,26,,59,40,37,6.000000000000003,0.06607929515418498,5.8000000000000025,0.06387665198237881,30,29,32
14,A,all_agents,,,40,21,10,9,20,1,0.24226444696565216,0.1971433553537903,0.731924692793391,0.018277300290170908,124,30,0.75,49,4.346938775510204,2.0,32.05,476,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,participants_only,,,30,21,0,9,20,1,0.26699346455004136,0.22312504026969893,0.731924692793391,0.020154969334834585,124,30,1.0,49,4.346938775510204,2.0,26.066666666666666,476,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,nonparticipants_only,,,10,0,10,0,0,0,0.16807739421248455,0.15010625984084147,0.40804714212307336,0.005306001427911507,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.60000000000011,,,53.0,0.6264775413711576,19.0,0.22458628841607536,0.0,0.0,0.015608576726011453,0.09433962264150944,0.0,0,5,7,46,,53,38,37,6.600000000000003,0.07801418439716305,6.000000000000003,0.07092198581560277,33,30,32
15,A,all_agents,,,40,24,10,6,23,1,0.24704812279181565,0.20116602892239183,0.728265069329424,0.019229746985817933,131,30,0.75,49,4.346938775510204,2.0,31.775,512,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,participants_only,,,30,24,0,6,23,1,0.273127254766725,0.22327739333347996,0.728265069329424,0.0212233632083334,131,30,1.0,49,4.346938775510204,2.0,25.7,512,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,nonparticipants_only,,,10,0,10,0,0,0,0.16881072686708753,0.15222346769067674,0.406006906412458,0.005087444823494656,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.2000000000001,,,58.0,0.6430155210643008,20.0,0.2217294900221727,0.0,0.0,0.014471188850110983,0.1206896551724138,0.0,0,7,9,27,,58,40,37,6.200000000000003,0.06873614190687356,6.000000000000003,0.06651884700665184,31,30,33
