step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,A,nonparticipants_only,,,10,0,10,0,0,0,0.17177513700612368,0.14855950441651158,0.6624187185096607,0.015481004713734923,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,step_totals,,,,,,,,,,,,,,,,,,,,,80.10000000000008,20.0,0.2496878901373281,2.9000000000000012,0.03620474406991259,0.0,0.0,45.0,0.5617977528089882,0.014365455826774912,0.022222222222222223,0.3973509933774841,6,1,34,4,40,29,39,45,6.600000000000003,0.0823970037453183,5.600000000000002,0.0699126092384519,33,28,27
7,A,all_agents,,,40,5,10,25,5,0,0.206051642438292,0.1721408417448479,0.6591066249171124,0.013708318191738386,66,29,0.725,38,2.4473684210526314,1.368421052631579,33.475,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,participants_only,,,30,5,0,25,5,0,0.2172323165525369,0.19044535652121813,0.5683093262546338,0.012753947907318066,66,29,0.9666666666666667,38,2.4473684210526314,1.368421052631579,27.966666666666665,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,nonparticipants_only,,,10,0,10,0,0,0,0.17250962009555731,0.14781670689442902,0.6591066249171124,0.015071339361211996,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.7000000000001,20.0,0.22050716648291044,0.7,0.007717750826901865,0.0,0.0,58.0,0.6394707828004403,0.01711115774822149,0.1206896551724138,0.3937007874015752,5,7,27,7,40,7,39,58,6.400000000000003,0.07056229327453138,5.600000000000002,0.06174200661521495,32,28,26
8,A,all_agents,,,40,6,10,24,6,0,0.21150336116886417,0.17480614229630193,0.6558110917925268,0.01401913483349428,74,30,0.75,43,2.4651162790697674,1.3255813953488371,33.6,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,participants_only,,,30,6,0,24,6,0,0.22425876513784726,0.19643358470937983,0.5855769532044485,0.01314918806891906,74,30,1.0,43,2.4651162790697674,1.3255813953488371,28.133333333333333,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,nonparticipants_only,,,10,0,10,0,0,0,0.17323714926191489,0.1480154499595337,0.6558110917925268,0.01467657116227654,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.30000000000011,20.0,0.2214839424141747,0.1,0.0011074197120708735,0.0,0.0,57.0,0.6312292358803979,0.016214980600330612,0.05263157894736842,0.3759398496240606,5,3,38,4,40,1,39,57,7.400000000000004,0.08194905869324469,5.8000000000000025,0.0642303433001107,37,29,32
9,A,all_agents,,,40,9,10,21,9,0,0.21673761694226462,0.18034269671720354,0.6525320363335642,0.0144171462457943,85,30,0.75,49,2.795918367346939,1.3877551020408163,33.2,269,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,participants_only,,,30,9,0,21,9,0,0.2309975804378529,0.198784934691217,0.589721183672404,0.013644000460494101,85,30,1.0,49,2.795918367346939,1.3877551020408163,27.6,269,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,nonparticipants_only,,,10,0,10,0,0,0,0.17395772645549978,0.1492140031614544,0.6525320363335642,0.01429642489494877,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,step_totals,,,,,,,,,,,,,,,,,,,,,91.5000000000001,20.0,0.21857923497267737,0.1,0.001092896174863387,0.0,0.0,59.0,0.6448087431693982,0.015372941215334066,0.0847457627118644,0.4800000000000005,6,5,29,7,40,1,37,59,6.400000000000003,0.06994535519125679,6.000000000000003,0.06557377049180324,32,30,32
10,A,all_agents,,,40,11,10,19,11,0,0.2220990429142474,0.18563395437616778,0.6492693761518963,0.015001313734413945,91,30,0.75,50,2.86,1.38,32.975,305,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,participants_only,,,30,11,0,19,11,0,0.23790815291381592,0.2073025160232566,0.6061323363255079,0.014358830958046225,91,30,1.0,50,2.86,1.38,27.3,305,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,nonparticipants_only,,,10,0,10,0,0,0,0.17467171291554187,0.15117999530497905,0.6492693761518963,0.01392962655577562,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.10000000000011,20.0,0.22701475595913706,0.1,0.0011350737797956854,0.0,0.0,55.0,0.624290578887627,0.01636067986574741,0.09090909090909091,0.0763358778625955,1,5,39,5,40,1,39,55,7.0000000000000036,0.07945516458569801,6.000000000000003,0.06810442678774115,35,30,32
10,A,reachability,0.275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,all_agents,,,40,13,10,17,13,0,0.2269679512863825,0.18980027270444166,0.6460230292711368,0.015534152784834299,99,30,0.75,51,2.980392156862745,1.392156862745098,32.675,335,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,participants_only,,,30,13,0,17,13,0,0.24416396656350414,0.21206334390427284,0.6218870428724875,0.015005049836950734,99,30,1.0,51,2.980392156862745,1.392156862745098,26.9,335,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,nonparticipants_only,,,10,0,10,0,0,0,0.17537990545501755,0.1533380411733613,0.6460230292711368,0.013573026331552981,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.5000000000001,20.0,0.22099447513812132,0.1,0.0011049723756906065,0.0,0.0,58.0,0.6408839779005517,0.014582223591315861,0.1206896551724138,0.08000000000000008,1,7,26,8,40,1,36,58,6.400000000000003,0.07071823204419884,6.000000000000003,0.06629834254143642,32,30,33
12,A,all_agents,,,40,16,10,14,16,0,0.23207672453332504,0.19136160411657022,0.642792914124781,0.016230664780982586,107,30,0.75,51,2.980392156862745,1.392156862745098,32.375,371,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,participants_only,,,30,16,0,14,16,0,0.25074174104159197,0.21803494398954504,0.6370115611575881,0.01583767036550838,107,30,1.0,51,2.980392156862745,1.392156862745098,26.5,371,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,nonparticipants_only,,,10,0,10,0,0,0,0.1760816750085242,0.15543023827628635,0.642792914124781,0.013229053932358672,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.9000000000001,19.5,0.22439585730724945,,,0.0,0.0,55.0,0.6329113924050626,0.015916720103100045,0.14545454545454545,0.0,0,8,40,8,39,,38,55,6.400000000000003,0.07364787111622549,6.000000000000003,0.06904487917146139,32,30,31
13,A,all_agents,,,40,19,10,11,19,0,0.23717336451515056,0.1920040701800209,0.6515310987112846,0.017062473980266248,111,30,0.75,51,2.980392156862745,1.392156862745098,31.95,407,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,participants_only,,,30,19,0,11,19,0,0.2573051387227521,0.21822229517311015,0.6515310987112846,0.01683092547216,111,30,1.0,51,2.980392156862745,1.392156862745098,25.933333333333334,407,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,nonparticipants_only,,,10,0,10,0,0,0,0.17677804189234586,0.15653110169168433,0.6395789495541571,0.012893659511634787,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,step_totals,,,,,,,,,,,,,,,,,,,,,91.2000000000001,20.0,0.21929824561403485,,,0.0,0.0,59.0,0.6469298245614028,0.015103114533754083,0.06779661016949153,0.0,0,4,26,9,40,,36,59,6.200000000000003,0.06798245614035084,6.000000000000003,0.06578947368421048,31,30,34
14,A,all_agents,,,40,20,10,10,20,0,0.24213452908586058,0.19342451394443108,0.6654698547628332,0.017918550352231666,116,30,0.75,52,3.0576923076923075,1.4038461538461537,31.725,445,,,,,,,,,,,,,,,,,,,,,,,,,,,
