step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,A,nonparticipants_only,,,10,0,10,0,0,0,0.16105648690573163,0.14570079018103743,0.4593622559666761,0.008893700871597096,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.30000000000007,2.700000000000001,0.032412965186074415,20.0,0.24009603841536595,49.0,0.5882352941176465,0.0,0.0,0.014725212506847524,0.02040816326530612,0.13986013986014004,2,1,2,28,27,40,49,40,6.000000000000003,0.07202881152460981,5.600000000000002,0.06722689075630249,30,28,29
7,A,all_agents,,,40,5,10,25,5,0,0.1953944792751695,0.16889527466120746,0.6170193392996716,0.011986246908972827,71,30,0.75,40,2.3,1.325,33.325,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,participants_only,,,30,5,0,25,5,0,0.2065773997844851,0.1820127721331885,0.6170193392996716,0.012621578738584383,71,30,1.0,40,2.3,1.325,27.766666666666666,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,nonparticipants_only,,,10,0,10,0,0,0,0.1618457177472227,0.14497228623013225,0.45706544468684274,0.008579558886726098,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.60000000000011,0.9999999999999999,0.011415525114155237,20.0,0.22831050228310473,54.0,0.6164383561643828,0.0,0.0,0.015040800797954588,0.07407407407407407,0.2941176470588239,4,4,4,29,10,40,54,40,6.800000000000003,0.07762557077625565,5.8000000000000025,0.0662100456621004,34,29,33
8,A,all_agents,,,40,6,10,24,6,0,0.20005920459309673,0.17305951990061152,0.6208491459066748,0.01217670763211468,77,30,0.75,44,2.6363636363636362,1.3409090909090908,33.75,223,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,participants_only,,,30,6,0,24,6,0,0.2125366198352524,0.18373551294853957,0.6208491459066748,0.012852248888443652,77,30,1.0,44,2.6363636363636362,1.3409090909090908,28.333333333333332,223,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,nonparticipants_only,,,10,0,10,0,0,0,0.1626269588666297,0.14424742479898156,0.4547801174634085,0.008281853169625618,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.4000000000001,0.2,0.002237136465324382,20.0,0.22371364653243822,56.0,0.626398210290827,0.0,0.0,0.014141148374968982,0.03571428571428571,0.2985074626865675,4,2,3,36,2,40,56,40,7.200000000000004,0.0805369127516778,6.000000000000003,0.06711409395973149,36,30,30
9,A,all_agents,,,40,7,10,23,7,0,0.2057425450796973,0.17517481937954338,0.6360151800704078,0.012418381283433385,83,30,0.75,45,2.7555555555555555,1.3555555555555556,33.375,256,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,participants_only,,,30,7,0,23,7,0,0.2198562739512636,0.19224818454428044,0.6360151800704078,0.0130957137253602,83,30,1.0,45,2.7555555555555555,1.3555555555555556,27.833333333333332,256,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,nonparticipants_only,,,10,0,10,0,0,0,0.1634013584649984,0.1454930887223353,0.4525062168760915,0.007996015845731938,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,step_totals,,,,,,,,,,,,,,,,,,,,,91.80000000000011,,,20.0,0.21786492374727642,59.0,0.6427015250544654,0.0,0.0,0.016463430733826355,0.0847457627118644,0.07812500000000008,1,5,6,29,,40,59,40,6.800000000000003,0.07407407407407403,6.000000000000003,0.06535947712418295,34,30,35
10,A,all_agents,,,40,7,10,23,7,0,0.21120014311043048,0.17741899343946482,0.6505745728675915,0.012944916979534385,90,30,0.75,45,2.7555555555555555,1.3555555555555556,33.05,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,participants_only,,,30,7,0,23,7,0,0.2268774178673341,0.19983635682728879,0.6505745728675915,0.013701906331105766,90,30,1.0,45,2.7555555555555555,1.3555555555555556,27.4,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,nonparticipants_only,,,10,0,10,0,0,0,0.16416831883971963,0.1452130626445528,0.45024368579171103,0.0077246255991788755,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.8000000000001,,,20.0,0.22271714922048974,57.0,0.6347438752783957,0.0,0.0,0.01620078859191693,0.12280701754385964,0.0,0,7,6,34,,40,57,40,6.800000000000003,0.07572383073496655,6.000000000000003,0.06681514476614694,34,30,33
10,A,reachability,0.45,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,all_agents,,,40,8,10,22,8,0,0.21649272665071292,0.1789484323611616,0.6645515899528878,0.013375914077382119,94,30,0.75,45,2.7555555555555555,1.3555555555555556,32.625,322,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,participants_only,,,30,8,0,22,8,0,0.2336804622923487,0.20587304375451554,0.6645515899528878,0.014165855983157357,94,30,1.0,45,2.7555555555555555,1.3555555555555556,26.833333333333332,322,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,nonparticipants_only,,,10,0,10,0,0,0,0.16492951972580552,0.14591910809918146,0.4479924673627525,0.007461069282215314,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.60000000000011,,,20.0,0.22075055187637943,58.0,0.6401766004415004,0.0,0.0,0.015662231871042608,0.06896551724137931,0.0,0,4,7,28,,40,58,39,6.600000000000003,0.07284768211920524,6.000000000000003,0.06622516556291386,33,30,37
12,A,all_agents,,,40,11,10,19,11,0,0.22148036896177795,0.18149721021017223,0.6779695263547723,0.013914502133292012,97,30,0.75,45,2.7555555555555555,1.3555555555555556,32.55,355,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,participants_only,,,30,11,0,19,11,0,0.2400792766247851,0.20774403960945104,0.6779695263547723,0.014765542928711609,97,30,1.0,45,2.7555555555555555,1.3555555555555556,26.733333333333334,355,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,nonparticipants_only,,,10,0,10,0,0,0,0.1656836459727564,0.14790846296795973,0.4457525050259387,0.007210347351948415,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.8000000000001,0.2,0.0023866348448687326,20.0,0.23866348448687325,51.0,0.6085918854415268,0.0,0.0,0.01614942492417046,0.058823529411764705,0.0,0,3,7,43,2,40,51,36,6.600000000000003,0.0787589498806682,6.000000000000003,0.071599045346062,33,30,36
13,A,all_agents,,,40,14,10,16,14,0,0.22656933599245938,0.18261636035654344,0.6908507453005813,0.014560201494680718,98,30,0.75,45,2.7555555555555555,1.3555555555555556,32.15,388,,,,,,,,,,,,,,,,,,,,,,,,,,,
