step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.16189201712596335,0.13416800857486239,0.49487235541273933,0.011458454038971756,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,step_totals,,,,,,,,,,,,,,,,,,,,,85.60000000000005,2.800000000000001,0.03271028037383177,20.0,0.23364485981308397,0.0,0.0,54.0,0.6308411214953267,0.016025731978102923,0.1111111111111111,0.0,0,6,7,20,28,40,39,54,4.600000000000001,0.05373831775700933,4.200000000000001,0.04906542056074765,23,21,30
7,D,all_agents,,,40,8,10,22,8,0,0.20456912161342877,0.17186931003616046,0.6668788047972559,0.014854075010132714,42,21,0.525,0,0.0,0.0,32.675,225,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,participants_only,,,30,8,0,22,8,0,0.21852989562033853,0.1903803969834836,0.6668788047972559,0.015332902032587036,42,21,0.7,0,0.0,0.0,26.9,225,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,nonparticipants_only,,,10,0,10,0,0,0,0.16268679959269944,0.13349716853198806,0.49239799363567566,0.011078755412305654,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.10000000000008,1.2,0.013620885357548228,19.5,0.2213393870601587,0.0,0.0,57.0,0.6469920544835408,0.015656313183605976,0.03508771929824561,0.0,0,2,8,24,12,39,38,57,6.200000000000003,0.07037457434733255,4.200000000000001,0.04767309875141881,31,21,36
8,D,all_agents,,,40,9,10,21,9,0,0.20980052223720017,0.17848940398775792,0.6802036526053656,0.015270297706554952,47,22,0.55,0,0.0,0.0,33.2,256,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,participants_only,,,30,9,0,21,9,0,0.22524292923069295,0.19435191391633744,0.6802036526053656,0.015834078672412308,47,22,0.7333333333333333,0,0.0,0.0,27.6,256,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,nonparticipants_only,,,10,0,10,0,0,0,0.16347330125672185,0.13282968268932813,0.4899360036674973,0.01071733960395079,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.50000000000009,0.5,0.0056497175141242886,20.0,0.22598870056497153,0.0,0.0,58.0,0.6553672316384175,0.01584726071617102,0.08620689655172414,0.0,0,5,13,21,5,40,39,58,5.8000000000000025,0.06553672316384178,4.200000000000001,0.047457627118644034,29,21,32
9,D,all_agents,,,40,12,10,18,12,0,0.21503557670321133,0.18016726568699093,0.692995506501151,0.015804370399764508,48,23,0.575,0,0.0,0.0,32.95,289,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,participants_only,,,30,12,0,18,12,0,0.2319630455664018,0.19488095449572035,0.692995506501151,0.016470453522661275,48,23,0.7666666666666667,0,0.0,0.0,27.266666666666666,289,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,nonparticipants_only,,,10,0,10,0,0,0,0.16425317011363996,0.1336374807318867,0.4874863236491598,0.010367650605702813,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.50000000000007,0.2,0.002259887005649716,19.5,0.2203389830508473,0.0,0.0,58.0,0.6553672316384176,0.0158769271271703,0.017241379310344827,0.0,0,1,13,22,2,39,38,58,6.400000000000003,0.07231638418079094,4.400000000000001,0.04971751412429376,32,22,41
10,D,all_agents,,,40,13,10,17,13,0,0.22058831225474293,0.18213889279972617,0.705275686241105,0.01637256447708641,56,23,0.575,0,0.0,0.0,32.525,325,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,participants_only,,,30,13,0,17,13,0,0.23910921031958832,0.2040071534039839,0.705275686241105,0.01711373642796004,56,23,0.7666666666666667,0,0.0,0.0,26.7,325,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,nonparticipants_only,,,10,0,10,0,0,0,0.16502561806020688,0.13763503215868506,0.485048892030914,0.010032764642924817,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.50000000000009,0.1,0.001117318435754189,20.0,0.22346368715083778,0.0,0.0,59.0,0.6592178770949715,0.01652130336928564,0.13559322033898305,0.0,0,8,16,18,1,40,38,59,5.8000000000000025,0.06480446927374298,4.600000000000001,0.051396648044692704,29,23,32
10,D,reachability,0.275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,all_agents,,,40,15,10,15,15,0,0.22549723996901308,0.18122819833572754,0.7170646587914609,0.01695493322042335,61,24,0.6,0,0.0,0.0,32.125,356,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,participants_only,,,30,15,0,15,15,0,0.2453996254288892,0.20664237112683498,0.7170646587914609,0.017783863247732352,61,24,0.8,0,0.0,0.0,26.166666666666668,356,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,nonparticipants_only,,,10,0,10,0,0,0,0.16579008358938474,0.13882997700069483,0.48262364757075943,0.009714883774574495,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.3000000000001,,,19.5,0.21836506159014535,0.0,0.0,59.0,0.6606942889137731,0.014872481763804353,0.0847457627118644,0.0,0,5,14,21,,39,38,59,6.200000000000003,0.06942889137737958,4.600000000000001,0.05151175811870097,31,23,41
12,D,all_agents,,,40,17,10,13,17,0,0.23053485535357687,0.18246475242802246,0.7283820724398025,0.017741552064784033,67,25,0.625,0,0.0,0.0,32.0,393,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,participants_only,,,30,17,0,13,17,0,0.2518637752793623,0.20630613213603977,0.7283820724398025,0.018699736897782766,67,25,0.8333333333333334,0,0.0,0.0,26.0,393,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,nonparticipants_only,,,10,0,10,0,0,0,0.16654809557622044,0.13813582711569136,0.48021052933290564,0.009407923663381008,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.20000000000006,0.1,0.0012019230769230761,19.5,0.23437499999999983,0.0,0.0,53.0,0.6370192307692303,0.016431326289611487,0.11320754716981132,0.0,0,6,12,32,1,39,37,53,5.8000000000000025,0.06971153846153844,4.800000000000002,0.05769230769230767,29,24,39
13,D,all_agents,,,40,20,10,10,20,0,0.2353402487929674,0.18513883584947644,0.7392467895422103,0.018712964983869106,74,25,0.625,0,0.0,0.0,31.65,428,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,participants_only,,,30,20,0,10,20,0,0.2580203509232525,0.20616032136784979,0.7392467895422103,0.019856137992383692,74,25,0.8333333333333334,0,0.0,0.0,25.533333333333335,428,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,nonparticipants_only,,,10,0,10,0,0,0,0.16729994240211193,0.13744514798011293,0.47780947668624113,0.009110801566643366,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.00000000000009,,,19.0,0.21348314606741553,0.0,0.0,59.0,0.6629213483146061,0.014661121038606206,0.11864406779661017,0.0,0,7,15,21,,38,37,59,6.000000000000003,0.06741573033707862,5.000000000000002,0.05617977528089884,30,25,39
14,D,all_agents,,,40,19,10,11,19,0,0.24014627402378272,0.1861858762764028,0.7496769179605219,0.019568901433463775,81,26,0.65,0,0.0,0.0,31.575,465,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,participants_only,,,30,19,0,11,19,0,0.2641798825855978,0.20605442156541828,0.7496769179605219,0.020839961842481824,81,26,0.8666666666666667,0,0.0,0.0,25.433333333333334,465,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,nonparticipants_only,,,10,0,10,0,0,0,0.16804544833833746,0.13749498842217928,0.4754204293028099,0.008824348120379006,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,step_totals,,,,,,,,,,,,,,,,,,,,,82.40000000000008,,,19.0,0.23058252427184445,0.0,0.0,53.0,0.643203883495145,0.01595219226365293,0.1320754716981132,0.0,0,7,13,32,,38,38,53,5.400000000000002,0.06553398058252424,5.000000000000002,0.0606796116504854,27,25,40
15,D,all_agents,,,40,19,10,11,19,0,0.24445585220082047,0.18812648274582483,0.759689841242101,0.020530614663442633,84,27,0.675,0,0.0,0.0,31.325,497,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,participants_only,,,30,19,0,11,19,0,0.2696797120548506,0.20727348210086416,0.759689841242101,0.021979243339988873,84,27,0.9,0,0.0,0.0,25.1,497,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,nonparticipants_only,,,10,0,10,0,0,0,0.16878427263873025,0.13773435712865523,0.4730433271562959,0.00854981136257491,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.20000000000009,,,19.0,0.2178899082568805,0.0,0.0,57.0,0.6536697247706416,0.013620250599846163,0.05263157894736842,0.0,0,3,13,23,,38,37,57,6.000000000000003,0.06880733944954125,5.200000000000002,0.05963302752293574,30,26,42
16,D,all_agents,,,40,23,10,7,23,0,0.24849964776607308,0.1878341003150588,0.7693022475924169,0.021442904284301238,88,27,0.675,0,0.0,0.0,31.375,530,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D,participants_only,,,30,23,0,7,23,0,0.27482685272502544,0.20887309056612896,0.7693022475924169,0.02305770978588232,88,27,0.9,0,0.0,0.0,25.166666666666668,530,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D,nonparticipants_only,,,10,0,10,0,0,0,0.16951803288921605,0.13823127924258688,0.4706781105205144,0.00828102712814978,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D,step_totals,,,,,,,,,,,,,,,,,,,,,79.30000000000008,0.1,0.0012610340479192925,18.0,0.22698612862547266,0.0,0.0,50.0,0.6305170239596463,0.01435973133843234,0.08,0.0,0,4,11,37,1,36,34,50,5.8000000000000025,0.073139974779319,5.400000000000002,0.06809583858764182,29,27,40
17,D,all_agents,,,40,24,10,6,24,0,0.25255304235629544,0.19309081282163343,0.7785301576887202,0.02244417907423764,93,29,0.725,0,0.0,0.0,31.175,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
