step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,C,reachability,0.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,15,25,0,0,0.1741576962424632,0.15267526182505348,0.6792305208175738,0.013613385552585847,1,1,0.025,0,0.0,0.0,25.95,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,5,25,0,0,0.17621718865877453,0.1553312301876314,0.5621042251065486,0.012191616561097638,1,1,0.03333333333333333,0,0.0,0.0,24.6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.16797921899352902,0.14045655041454574,0.6792305208175738,0.017827794418896346,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,20.0,0.23809523809523817,4.000000000000002,0.04761904761904766,0.0,0.0,60.0,0.7142857142857145,0.019940563056909014,0.016666666666666666,0.0,0,1,21,30,40,40,37,60,,,,,,,
2,C,all_agents,,,40,3,11,26,3,0,0.18047851896686706,0.16102691330424157,0.675834368213486,0.013365752703569416,8,8,0.2,0,0.0,0.0,26.9,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,3,1,26,3,0,0.18438572931466513,0.1672169328342582,0.5592937039810159,0.011989898882751572,8,8,0.26666666666666666,0,0.0,0.0,24.2,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.16875688792347285,0.14049524365905175,0.675834368213486,0.01731011865359966,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.4,20.0,0.22883295194508008,4.000000000000002,0.04576659038901604,0.0,0.0,60.0,0.6864988558352403,0.01893340515067916,0.11666666666666667,0.0,0,7,21,23,40,40,36,60,3.2000000000000006,0.03661327231121282,0.2,0.002288329519450801,16,1,
3,C,all_agents,,,40,4,10,26,4,0,0.18745130474620583,0.16753345874045267,0.6724551963724186,0.013454244579901188,13,12,0.3,0,0.0,0.0,28.375,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,participants_only,,,30,4,0,26,4,0,0.193426947220704,0.1770634110212982,0.5564972354611107,0.012189340791243378,13,12,0.4,0,0.0,0.0,24.5,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,nonparticipants_only,,,10,0,10,0,0,0,0.1695243773227114,0.14298118078277672,0.6724551963724186,0.016820456310078304,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,step_totals,,,,,,,,,,,,,,,,,,,,,89.0,20.0,0.2247191011235955,4.000000000000002,0.04494382022471912,0.0,0.0,60.0,0.6741573033707865,0.020341921872475972,0.08333333333333333,0.0,0,5,20,15,40,40,34,60,3.600000000000001,0.0404494382022472,1.4,0.015730337078651683,18,7,
4,C,all_agents,,,40,4,10,26,4,0,0.1931768460664544,0.17018656324725515,0.6690929203905565,0.01337823055178071,20,14,0.35,0,0.0,0.0,30.325,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
