step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.1619701808430459,0.13990048282090461,0.42474247612372984,0.007467198277536154,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,79.40000000000008,3.4000000000000017,0.0428211586901763,44.0,0.5541561712846342,20.0,0.25188916876574285,0.0,0.0,0.01527283122669652,0.06818181818181818,0.5844155844155854,9,3,1,24,34,44,40,40,6.000000000000003,0.07556675062972289,6.000000000000003,0.07556675062972289,30,30,26
7,B,all_agents,,,40,9,10,21,9,0,0.2031086261011382,0.1731086434404417,0.7125965518861067,0.013831622145261114,80,30,0.75,47,2.74468085106383,1.6595744680851063,33.6,202,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,participants_only,,,30,9,0,21,9,0,0.2165588402088428,0.18895295987464056,0.7125965518861067,0.015334187222102152,80,30,1.0,47,2.74468085106383,1.6595744680851063,28.133333333333333,202,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,nonparticipants_only,,,10,0,10,0,0,0,0.16275798377802436,0.13920098040680007,0.4226187637431112,0.007153027800220848,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,step_totals,,,,,,,,,,,,,,,,,,,,,91.9000000000001,0.5,0.005440696409140364,59.0,0.6420021762785629,20.0,0.21762785636561455,0.0,0.0,0.014764844371957025,0.11864406779661017,0.3100775193798453,4,7,6,27,5,59,40,38,6.400000000000003,0.0696409140369967,6.000000000000003,0.06528835690968439,32,30,26
8,B,all_agents,,,40,9,10,21,9,0,0.20762212638978916,0.17885553735252144,0.7090335691266761,0.013987264927662914,85,30,0.75,48,2.7708333333333335,1.6458333333333333,33.7,224,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,participants_only,,,30,9,0,21,9,0,0.22231654649827404,0.19146877725694977,0.7090335691266761,0.015502259163284782,85,30,1.0,48,2.7708333333333335,1.6458333333333333,28.266666666666666,224,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,nonparticipants_only,,,10,0,10,0,0,0,0.16353886606433463,0.13850497550476606,0.42050566992439564,0.006851170432901582,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.0000000000001,0.2,0.00222222222222222,57.0,0.6333333333333326,20.0,0.222222222222222,0.0,0.0,0.01373148146816501,0.07017543859649122,0.07692307692307701,1,4,5,37,2,57,40,38,6.800000000000003,0.07555555555555551,6.000000000000003,0.06666666666666662,34,30,31
9,B,all_agents,,,40,11,10,19,11,0,0.21358585195632906,0.18464287984381866,0.7054884012810427,0.014384359599096383,97,30,0.75,50,2.86,1.62,33.375,262,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,participants_only,,,30,11,0,19,11,0,0.23001033349406272,0.19598609066873451,0.7054884012810427,0.015912300199496784,97,30,1.0,50,2.86,1.62,27.833333333333332,262,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,nonparticipants_only,,,10,0,10,0,0,0,0.16431240734312808,0.13935202265488644,0.41840314157477365,0.006563374672494936,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,step_totals,,,,,,,,,,,,,,,,,,,,,91.40000000000009,,,59.0,0.6455142231947477,20.0,0.21881838074398227,0.0,0.0,0.01728543572844959,0.1694915254237288,0.16129032258064532,2,10,8,26,,59,40,37,6.400000000000003,0.07002188183807437,6.000000000000003,0.06564551422319471,32,30,28
10,B,all_agents,,,40,12,10,18,11,1,0.21809277034638602,0.18888408305853777,0.717268865229801,0.014844017150787796,105,30,0.75,52,3.076923076923077,1.6538461538461537,33.025,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,participants_only,,,30,12,0,18,11,1,0.23576412769610897,0.19691352522483652,0.717268865229801,0.016446490731850383,105,30,1.0,52,3.076923076923077,1.6538461538461537,27.366666666666667,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,nonparticipants_only,,,10,0,10,0,0,0,0.16507869829721716,0.13948516920608123,0.4163111258668998,0.006289273960620747,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.6000000000001,,,58.0,0.6546275395033853,19.0,0.21444695259593657,0.0,0.0,0.013900167708871619,0.10344827586206896,0.17241379310344843,2,6,12,32,,58,38,36,5.600000000000002,0.06320541760722344,6.000000000000003,0.06772009029345369,28,30,24
10,B,reachability,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,all_agents,,,40,12,10,18,11,1,0.2232422842339192,0.19039369168407774,0.713682520903652,0.015441154033303603,114,30,0.75,56,3.517857142857143,1.6785714285714286,32.775,321,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,participants_only,,,30,12,0,18,11,1,0.2423769343259024,0.20253549916597446,0.713682520903652,0.017114839574154314,114,30,1.0,56,3.517857142857143,1.6785714285714286,27.033333333333335,321,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,nonparticipants_only,,,10,0,10,0,0,0,0.16583833395796965,0.14076887475755623,0.4142295702375653,0.006026479401039878,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.3000000000001,0.1,0.0011074197120708737,58.0,0.6423034330011067,20.0,0.22148394241417474,0.0,0.0,0.015357060594071955,0.08620689655172414,0.32520325203252065,4,5,9,25,1,58,40,37,6.200000000000003,0.0686600221483942,6.000000000000003,0.06644518272425246,31,30,31
12,B,all_agents,,,40,12,10,18,11,1,0.2280679765767554,0.19363285485898354,0.725135220067506,0.016093998879783,116,30,0.75,56,3.517857142857143,1.6785714285714286,32.55,354,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,participants_only,,,30,12,0,18,11,1,0.24856006297820943,0.2066246704260362,0.725135220067506,0.017854470017795374,116,30,1.0,56,3.517857142857143,1.6785714285714286,26.733333333333334,354,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,nonparticipants_only,,,10,0,10,0,0,0,0.16659171737239337,0.14472583120561505,0.41215842238637745,0.005773478204729998,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.1000000000001,0.1,0.0011614401858304284,55.0,0.6387921022067357,19.0,0.22067363530778142,0.0,0.0,0.015246413342305103,0.03636363636363636,0.0,0,2,10,37,1,55,38,36,6.000000000000003,0.06968641114982574,6.000000000000003,0.06968641114982574,30,30,28
13,B,all_agents,,,40,13,10,17,12,1,0.23328199825989246,0.19366010051460417,0.7215095439671685,0.016869307563544274,122,30,0.75,57,3.6140350877192984,1.6666666666666667,32.175,390,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,participants_only,,,30,13,0,17,12,1,0.25526342501303245,0.21416403512073684,0.7215095439671685,0.018714768556495072,122,30,1.0,57,3.6140350877192984,1.6666666666666667,26.233333333333334,390,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,nonparticipants_only,,,10,0,10,0,0,0,0.16733771800047256,0.1464483704283382,0.41009763027444557,0.005534727119447984,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,step_totals,,,,,,,,,,,,,,,,,,,,,91.0000000000001,,,59.0,0.6483516483516476,20.0,0.21978021978021953,0.0,0.0,0.015415377536188149,0.0847457627118644,0.08333333333333341,1,5,10,25,,59,40,37,6.000000000000003,0.0659340659340659,6.000000000000003,0.0659340659340659,30,30,31
14,B,all_agents,,,40,18,10,12,17,1,0.2376402311727304,0.1947949450917384,0.7326491622084818,0.017650848316907396,125,30,0.75,57,3.6140350877192984,1.6666666666666667,32.15,422,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,participants_only,,,30,18,0,12,17,1,0.26082784349281235,0.21581689338873333,0.7326491622084818,0.01961513581948036,125,30,1.0,57,3.6140350877192984,1.6666666666666667,26.2,422,,,,,,,,,,,,,,,,,,,,,,,,,,,
