step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.18780630015290353,0.13812829679886235,0.611753395567932,0.0149210497465768,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.90000000000006,20.0,0.23014959723820466,3.3000000000000016,0.03797468354430379,54.0,0.6214039125431526,0.0,0.0,0.015705624278237868,0.07407407407407407,0.0,0,4,2,33,40,33,54,40,6.600000000000003,0.07594936708860758,3.0000000000000004,0.0345224395857307,33,15,33
7,D,all_agents,,,40,11,10,19,11,0,0.2013149110865845,0.16493355233876994,0.6086946285900923,0.014830482055968222,27,19,0.475,0,0.0,0.0,32.625,223,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,participants_only,,,30,11,0,19,11,0,0.2056011438706161,0.1685814290655907,0.5942886398260185,0.014872307467327131,27,19,0.6333333333333333,0,0.0,0.0,26.833333333333332,223,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,nonparticipants_only,,,10,0,10,0,0,0,0.1884562127344897,0.13743765531486804,0.6086946285900923,0.014484544324144605,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.20000000000009,20.0,0.23201856148491856,0.9999999999999999,0.011600928074245927,56.0,0.6496519721577719,0.0,0.0,0.015892425818970442,0.07142857142857142,0.0,0,4,16,23,40,10,56,36,6.000000000000003,0.0696055684454756,3.2000000000000006,0.03712296983758698,30,16,30
8,D,all_agents,,,40,11,10,19,11,0,0.2064425669351449,0.17014952826827828,0.6056511554471418,0.015049978930835914,32,21,0.525,0,0.0,0.0,33.0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,participants_only,,,30,11,0,19,11,0,0.21222416048498347,0.1744905773444026,0.5913171966268884,0.015242800969988065,32,21,0.7,0,0.0,0.0,27.333333333333332,252,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,nonparticipants_only,,,10,0,10,0,0,0,0.18909778628562904,0.14079204956342084,0.6056511554471418,0.014070390925673037,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.70000000000007,19.5,0.21984216459977435,0.6,0.006764374295377672,58.0,0.6538895152198416,0.0,0.0,0.015589160622941592,0.08620689655172414,0.0,0,5,12,32,39,6,58,38,7.0000000000000036,0.07891770011273955,3.600000000000001,0.04058624577226604,35,18,31
