step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.1697403584452312,0.14618143867899952,0.502889720389507,0.009643859724048846,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,step_totals,,,,,,,,,,,,,,,,,,,,,84.60000000000004,3.0000000000000013,0.03546099290780142,52.0,0.614657210401891,20.0,0.2364066193853427,0.0,0.0,0.017071634559513067,0.038461538461538464,0.0,0,2,6,21,30,52,40,38,3.400000000000001,0.04018912529550826,6.200000000000003,0.07328605200945626,17,31,31
7,D,all_agents,,,40,11,10,19,11,0,0.19975892509598034,0.16390536136283362,0.6572282911074079,0.013736445638026964,29,19,0.475,0,0.0,0.0,32.85,214,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,participants_only,,,30,11,0,19,11,0,0.20951572651139294,0.17379713003630753,0.6572282911074079,0.014839031797752388,29,19,0.6333333333333333,0,0.0,0.0,27.133333333333333,214,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,nonparticipants_only,,,10,0,10,0,0,0,0.17048852084974253,0.14545053148560452,0.5003752717875595,0.009286345072533123,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.50000000000007,0.7,0.007999999999999993,57.0,0.6514285714285709,20.0,0.2285714285714284,0.0,0.0,0.014541192846074979,0.07017543859649122,0.0,0,4,15,20,7,57,40,38,3.400000000000001,0.03885714285714283,6.400000000000003,0.07314285714285712,17,32,33
8,D,all_agents,,,40,13,10,17,13,0,0.2053298622394609,0.16706254543012095,0.6709391594631116,0.014148540380507387,32,19,0.475,0,0.0,0.0,33.25,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,participants_only,,,30,13,0,17,13,0,0.21669683984002544,0.17707402049287613,0.6709391594631116,0.015365897044455519,32,19,0.6333333333333333,0,0.0,0.0,27.666666666666668,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,nonparticipants_only,,,10,0,10,0,0,0,0.1712289294377672,0.1447232788281765,0.4978733954286217,0.008945972231402154,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.20000000000009,0.2,0.002293577981651374,57.0,0.6536697247706416,20.0,0.22935779816513738,0.0,0.0,0.016982222813619725,0.05263157894736842,0.0,0,3,16,27,2,57,40,38,3.600000000000001,0.04128440366972474,6.400000000000003,0.073394495412844,18,32,31
9,D,all_agents,,,40,14,10,16,14,0,0.2100236419638977,0.16737293224695637,0.667584463665796,0.014565129716422065,33,19,0.475,0,0.0,0.0,33.0,273,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,participants_only,,,30,14,0,16,14,0,0.22271105120242324,0.1805872559520882,0.667584463665796,0.015901838104237207,33,19,0.6333333333333333,0,0.0,0.0,27.333333333333332,273,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,nonparticipants_only,,,10,0,10,0,0,0,0.17196141424832098,0.1439996624340356,0.49538402845147855,0.008623360314746755,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.30000000000007,0.1,0.0011198208286674124,59.0,0.6606942889137732,20.0,0.22396416573348246,0.0,0.0,0.014214955609916237,0.01694915254237288,0.0,0,1,15,24,1,59,40,39,3.800000000000001,0.04255319148936168,6.400000000000003,0.07166853303471442,19,32,37
10,D,all_agents,,,40,16,10,14,16,0,0.21492295674792292,0.1711033530850739,0.6808810851191642,0.015173657414760037,39,20,0.5,0,0.0,0.0,32.725,303,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,participants_only,,,30,16,0,14,16,0,0.22900175960891533,0.182788203775708,0.6808810851191642,0.016666642896361453,39,20,0.6666666666666666,0,0.0,0.0,26.966666666666665,303,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,nonparticipants_only,,,10,0,10,0,0,0,0.17268654816494572,0.14327966412186544,0.49290710830922113,0.00831614868997154,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
