step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,D,reachability,0.675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,17,23,0,0,0.14856264905417538,0.12179033210023901,0.5119314454368956,0.01144946511681818,3,3,0.075,0,0.0,0.0,25.95,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,7,23,0,0,0.14847102600231782,0.1213773257433752,0.4637560850856411,0.011323204557267279,3,3,0.1,0,0.0,0.0,24.6,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.148837518209748,0.12380058086630222,0.5119314454368956,0.011828146058067302,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,84.0,4.000000000000002,0.04761904761904764,20.0,0.23809523809523808,0.0,0.0,60.0,0.7142857142857143,0.019760270562153244,0.05,0.0,0,3,30,17,40,40,36,60,,,,,,,
2,D,all_agents,,,40,3,13,24,3,0,0.15490986549105495,0.12342869402208487,0.5093717882097112,0.011465006910090053,6,5,0.125,0,0.0,0.0,26.9,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,3,3,24,3,0,0.15663895960958804,0.12361292453713094,0.48519173756673634,0.011479521464565521,6,5,0.16666666666666666,0,0.0,0.0,24.2,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.14972258313545572,0.1231815779619707,0.5093717882097112,0.011385586049014705,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.6,4.000000000000002,0.04566210045662103,20.0,0.22831050228310504,0.0,0.0,60.0,0.6849315068493151,0.018728568178634466,0.05,0.0,0,3,22,16,40,40,35,60,3.2000000000000006,0.036529680365296816,0.4,0.004566210045662101,16,2,
3,D,all_agents,,,40,3,12,25,3,0,0.1614811045034888,0.125674609643567,0.5068249292686626,0.011722329958875028,13,11,0.275,0,0.0,0.0,28.325,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,participants_only,,,30,3,2,25,3,0,0.1651092132450534,0.13859817636577598,0.5057840680640668,0.011920213137114872,13,11,0.36666666666666664,0,0.0,0.0,24.433333333333334,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,nonparticipants_only,,,10,0,10,0,0,0,0.15059677827879492,0.12256567007216085,0.5068249292686626,0.010970722347668082,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000001,4.000000000000002,0.04545454545454547,20.0,0.22727272727272724,0.0,0.0,60.0,0.6818181818181817,0.019239759515246382,0.11666666666666667,0.0,0,7,21,15,40,40,34,60,3.2000000000000006,0.03636363636363636,0.8,0.00909090909090909,16,4,
4,D,all_agents,,,40,4,11,25,4,0,0.16693306945345432,0.12598889015241116,0.5042908046223193,0.011651040268511348,16,14,0.35,0,0.0,0.0,29.95,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,participants_only,,,30,4,1,25,4,0,0.17209040154681732,0.1379051854839471,0.5032551477237465,0.01190185682737583,16,14,0.4666666666666667,0,0.0,0.0,24.933333333333334,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,nonparticipants_only,,,10,0,10,0,0,0,0.1514610731733653,0.12195284172180004,0.5042908046223193,0.010579413700063118,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.20000000000003,4.000000000000002,0.045871559633027525,20.0,0.22935779816513754,0.0,0.0,56.0,0.6422018348623851,0.01655088210046703,0.05357142857142857,0.0,0,3,8,25,40,40,38,56,5.200000000000002,0.05963302752293578,1.9999999999999998,0.022935779816513752,26,10,19
5,D,all_agents,,,40,5,11,24,5,0,0.17216958661924456,0.12964014983376454,0.5017693505992078,0.011764509897071031,22,16,0.4,0,0.0,0.0,31.725,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,participants_only,,,30,5,1,24,5,0,0.17878703222781225,0.14381528085829356,0.5007388719851277,0.012109311043254144,22,16,0.5333333333333333,0,0.0,0.0,25.633333333333333,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,nonparticipants_only,,,10,0,10,0,0,0,0.1523172497935415,0.12134307751319104,0.5017693505992078,0.01020461942193347,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.10000000000004,3.5000000000000018,0.03972758229284904,20.0,0.22701475595913725,0.0,0.0,57.0,0.6469920544835411,0.015763892104950068,0.10526315789473684,0.0,0,6,9,24,35,40,37,57,5.000000000000002,0.056753688989784334,2.6,0.029511918274687843,25,13,23
6,D,all_agents,,,40,5,11,24,5,0,0.17691093281022444,0.13745377810893827,0.49926050384621173,0.011610936782710465,23,17,0.425,0,0.0,0.0,32.225,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,participants_only,,,30,5,1,24,5,0,0.184826442594496,0.15037323968748212,0.49823517762520203,0.01194738969915671,23,17,0.5666666666666667,0,0.0,0.0,26.3,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.1531644034574097,0.12073636212562508,0.49926050384621173,0.009849714491632945,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
