step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,D,reachability,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,17,23,0,0,0.1721158046578454,0.1529011523036038,0.5226751667793869,0.010983414085524825,6,5,0.125,0,0.0,0.0,25.65,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,7,23,0,0,0.17779714108069006,0.1640031536539378,0.49424476401408735,0.01139147905937176,6,5,0.16666666666666666,0,0.0,0.0,24.2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.15507179538931135,0.1302274052532634,0.5226751667793869,0.009371888161389518,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.39999999999998,18.5,0.22182254196642692,3.900000000000002,0.04676258992805759,0.0,0.0,61.0,0.7314148681055158,0.019896599364166608,0.09836065573770492,0.0,0,6,10,30,37,39,31,61,,,,,,,
2,D,all_agents,,,40,4,13,23,4,0,0.17825974238865777,0.1575674767808587,0.5200617909454899,0.011293841175604344,8,7,0.175,0,0.0,0.0,26.3,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,4,3,23,4,0,0.18571276008650728,0.17257961333160124,0.4917735401940169,0.011825043061042236,8,7,0.23333333333333334,0,0.0,0.0,23.4,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.15590068929510925,0.13301823537792834,0.5200617909454899,0.009033665845637176,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.8,18.5,0.2131336405529954,3.900000000000002,0.044930875576036894,0.0,0.0,61.0,0.7027649769585254,0.018500370556628124,0.03278688524590164,0.0,0,2,10,23,37,39,31,61,3.0000000000000004,0.03456221198156682,0.4,0.004608294930875576,15,2,
3,D,all_agents,,,40,7,11,22,7,0,0.18394093399163525,0.1627267000443285,0.5174614819907625,0.011619086616345562,15,12,0.3,0,0.0,0.0,27.6,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,participants_only,,,30,7,1,22,7,0,0.1930145963314022,0.17853559408210481,0.5014913509965451,0.01225688239654967,15,12,0.4,0,0.0,0.0,23.466666666666665,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,nonparticipants_only,,,10,0,10,0,0,0,0.15671994697233443,0.13235314420103872,0.5174614819907625,0.008717723096659982,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.9,18.5,0.21288837744533945,3.600000000000002,0.04142692750287689,0.0,0.0,61.0,0.7019562715765247,0.01714019846857714,0.11475409836065574,0.0,0,7,6,23,37,36,30,61,3.0000000000000004,0.03452243958573073,0.8,0.009205983889528193,15,4,
