step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.15905319071060287,0.12352806585116162,0.6066388198340544,0.012060607393130583,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,step_totals,,,,,,,,,,,,,,,,,,,,,81.90000000000005,2.9000000000000012,0.0354090354090354,20.0,0.24420024420024405,49.0,0.5982905982905979,0.0,0.0,0.015197462505231471,0.04081632653061224,0.0,0,2,37,6,29,40,49,39,3.600000000000001,0.04395604395604394,6.400000000000003,0.07814407814407813,18,32,29
7,D,all_agents,,,40,7,10,23,7,0,0.19865196564626983,0.15863858505856152,0.6644460405130846,0.01391875583262654,27,19,0.475,0,0.0,0.0,33.6,207,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,participants_only,,,30,7,0,23,7,0,0.21158281334633117,0.18046857512561126,0.6644460405130846,0.013991158458988037,27,19,0.6333333333333333,0,0.0,0.0,28.133333333333333,207,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,nonparticipants_only,,,10,0,10,0,0,0,0.15985942254608576,0.12291042552190581,0.6036056257348842,0.011695066086635864,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.00000000000006,1.2,0.013793103448275853,20.0,0.22988505747126423,56.0,0.6436781609195398,0.0,0.0,0.015495449608316017,0.03571428571428571,0.0,0,2,30,13,12,40,56,39,3.400000000000001,0.03908045977011493,6.400000000000003,0.07356321839080458,17,32,29
8,D,all_agents,,,40,7,10,23,7,0,0.20380826769706226,0.16154319759913455,0.6611238103105193,0.014403608070809502,30,20,0.5,0,0.0,0.0,34.05,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,participants_only,,,30,7,0,23,7,0,0.21819210766425795,0.1795662322499832,0.6611238103105193,0.01459391727020973,30,20,0.6666666666666666,0,0.0,0.0,28.733333333333334,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,nonparticipants_only,,,10,0,10,0,0,0,0.1606567477954751,0.12229587339429629,0.6005875976062097,0.011349942246186052,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,step_totals,,,,,,,,,,,,,,,,,,,,,85.70000000000007,0.1,0.0011668611435239197,20.0,0.23337222870478394,55.0,0.6417736289381558,0.0,0.0,0.01614287113099086,0.05454545454545454,0.0,0,3,42,12,1,40,55,39,3.800000000000001,0.04434072345390896,6.800000000000003,0.07934655775962658,19,34,29
9,D,all_agents,,,40,8,10,22,8,0,0.2084505712679864,0.16849338323486437,0.6578181912589667,0.014926481470936092,35,20,0.5,0,0.0,0.0,33.65,263,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,participants_only,,,30,8,0,22,8,0,0.22411814954322876,0.18013740571684672,0.6578181912589667,0.01524855704376789,35,20,0.6666666666666666,0,0.0,0.0,28.2,263,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,nonparticipants_only,,,10,0,10,0,0,0,0.16144783644225938,0.12225805995975067,0.5975846596181786,0.011014578644310553,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,step_totals,,,,,,,,,,,,,,,,,,,,,90.60000000000008,,,20.0,0.22075055187637949,60.0,0.6622516556291385,0.0,0.0,0.013850874809504449,0.08333333333333333,0.0,0,5,30,14,,40,60,39,3.800000000000001,0.04194260485651212,6.800000000000003,0.07505518763796906,19,34,31
10,D,all_agents,,,40,11,10,19,11,0,0.21352826382544127,0.17125287208944734,0.6545291003026719,0.015512250998776733,39,20,0.5,0,0.0,0.0,33.3,295,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,participants_only,,,30,11,0,19,11,0,0.23062744017193357,0.18849972067041137,0.6545291003026719,0.015947941264372503,39,20,0.6666666666666666,0,0.0,0.0,27.733333333333334,295,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,nonparticipants_only,,,10,0,10,0,0,0,0.16223073478596445,0.12366776048896175,0.5945967363200877,0.010696598221248133,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
