step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.18138007140562434,0.13906811332515023,0.6844604976001618,0.018288414517036576,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,step_totals,,,,,,,,,,,,,,,,,,,,,84.50000000000006,20.0,0.23668639053254423,3.1000000000000014,0.03668639053254437,0.0,0.0,52.0,0.615384615384615,0.014653180903631366,0.07692307692307693,0.0,0,4,8,32,40,31,40,52,2.8000000000000003,0.033136094674556194,6.600000000000003,0.07810650887573962,14,33,30
7,D,all_agents,,,40,7,10,23,7,0,0.19822561958209747,0.1645592069157272,0.681038195112161,0.01438910339674355,27,18,0.45,0,0.0,0.0,32.625,198,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,participants_only,,,30,7,0,23,7,0,0.2036133057329738,0.17630944668178578,0.5825597668571787,0.01312437453604974,27,18,0.6,0,0.0,0.0,26.833333333333332,198,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,nonparticipants_only,,,10,0,10,0,0,0,0.1820625611294685,0.1416749264230901,0.681038195112161,0.017834964034100842,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.60000000000008,20.0,0.22831050228310482,0.7999999999999999,0.009132420091324192,0.0,0.0,57.0,0.6506849315068487,0.015244078443003005,0.05263157894736842,0.0,0,3,17,29,40,8,39,57,3.0000000000000004,0.03424657534246573,6.800000000000003,0.07762557077625568,15,34,33
8,D,all_agents,,,40,9,10,21,9,0,0.20309150679944807,0.17517651544207796,0.6776330041366002,0.014543676031980764,29,18,0.45,0,0.0,0.0,33.1,223,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,participants_only,,,30,9,0,21,9,0,0.20987610561797188,0.1806812687657398,0.5992573761828915,0.013407652298664046,29,18,0.6,0,0.0,0.0,27.466666666666665,223,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,nonparticipants_only,,,10,0,10,0,0,0,0.18273771034387679,0.14561356449394935,0.6776330041366002,0.017399377858391147,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.80000000000008,20.0,0.225225225225225,0.2,0.0022522522522522505,0.0,0.0,58.0,0.6531531531531526,0.014817214298601793,0.034482758620689655,0.0,0,2,13,32,40,2,40,58,3.400000000000001,0.038288288288288265,7.200000000000004,0.08108108108108104,17,36,34
9,D,all_agents,,,40,9,10,21,9,0,0.20794006918004862,0.1781086678859966,0.6742448391159173,0.014786349565750916,33,19,0.475,0,0.0,0.0,32.625,249,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,participants_only,,,30,9,0,21,9,0,0.21611799429944673,0.1874949909021196,0.6152870811355758,0.013788138450683097,33,19,0.6333333333333333,0,0.0,0.0,26.833333333333332,249,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,nonparticipants_only,,,10,0,10,0,0,0,0.18340629382185433,0.14951103924742454,0.6742448391159173,0.016978441399852582,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.60000000000008,20.0,0.22573363431151222,,,0.0,0.0,58.0,0.6546275395033854,0.014830830526277351,0.06896551724137931,0.0,0,4,12,32,40,,39,58,3.400000000000001,0.03837471783295709,7.200000000000004,0.08126410835214444,17,36,38
10,D,all_agents,,,40,12,10,18,12,0,0.21259479685780777,0.1817127020447641,0.6708736149203377,0.015137207418799106,39,22,0.55,0,0.0,0.0,32.175,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,participants_only,,,30,12,0,18,12,0,0.222103542812734,0.1915795164396154,0.6306755978901528,0.014297558739031957,39,22,0.7333333333333333,0,0.0,0.0,26.233333333333334,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,nonparticipants_only,,,10,0,10,0,0,0,0.18406855899302912,0.1494958344285941,0.6708736149203377,0.016571158462476646,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,step_totals,,,,,,,,,,,,,,,,,,,,,90.00000000000007,20.0,0.22222222222222204,,,0.0,0.0,59.0,0.655555555555555,0.014036546593789539,0.1016949152542373,0.0,0,6,12,31,40,,39,59,3.600000000000001,0.03999999999999998,7.400000000000004,0.0822222222222222,18,37,34
10,D,reachability,0.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,all_agents,,,40,13,10,17,13,0,0.21754669532951648,0.18791581968127274,0.667519246845736,0.015569662650274542,43,22,0.55,0,0.0,0.0,31.85,304,,,,,,,,,,,,,,,,,,,,,,,,,,,
