step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,D,reachability,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,17,23,0,0,0.15927375817194317,0.13926775386100795,0.4629241935927738,0.010408859123466117,4,4,0.1,0,0.0,0.0,25.85,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,7,23,0,0,0.1621685576007071,0.14391722978551952,0.4629241935927738,0.010504398321744008,4,4,0.13333333333333333,0,0.0,0.0,24.466666666666665,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.1505893598856514,0.1248080947789153,0.42249825525007495,0.010021683163839184,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999999,20.0,0.23809523809523814,4.000000000000002,0.04761904761904765,60.0,0.7142857142857144,0.0,0.0,0.018958448569915468,0.06666666666666667,0.0,0,4,30,14,40,40,60,32,,,,,,,
2,D,all_agents,,,40,2,14,24,2,0,0.1656100306688992,0.14518560087646887,0.4844072258490629,0.01026928711286142,6,6,0.15,0,0.0,0.0,26.7,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,2,4,24,2,0,0.17032513975189817,0.15034633413555049,0.4844072258490629,0.010404953053987828,6,6,0.2,0,0.0,0.0,23.933333333333334,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.15146470341990242,0.12418405430502072,0.4203857639738246,0.009595502245507245,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.4,20.0,0.22883295194508008,4.000000000000002,0.04576659038901604,60.0,0.6864988558352403,0.0,0.0,0.018848927898507662,0.03333333333333333,0.0,0,2,25,13,40,40,60,32,2.8000000000000003,0.032036613272311214,0.6000000000000001,0.006864988558352403,14,3,
3,D,all_agents,,,40,4,11,25,4,0,0.17193728232242442,0.15166266876089451,0.5050309368151004,0.0103948143006575,13,12,0.3,0,0.0,0.0,28.075,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,participants_only,,,30,4,1,25,4,0,0.1784734610446151,0.1646267639922702,0.5050309368151004,0.01062256928602491,13,12,0.4,0,0.0,0.0,24.1,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,nonparticipants_only,,,10,0,10,0,0,0,0.15232874615585237,0.12356313403349561,0.41828383515395545,0.00919888975709425,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.69999999999999,20.0,0.2280501710376283,3.900000000000002,0.04446978335233755,60.0,0.6841505131128849,0.0,0.0,0.01874547121506924,0.11666666666666667,0.0,0,7,23,11,40,39,60,32,2.8000000000000003,0.03192702394526797,1.0,0.011402508551881416,14,5,
4,D,all_agents,,,40,5,11,24,5,0,0.1773451719538557,0.15847591981270304,0.5248296993424963,0.010475882657926204,17,14,0.35,0,0.0,0.0,29.775,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,participants_only,,,30,5,1,24,5,0,0.18539930552611195,0.16688980598669448,0.5248296993424963,0.010766216771021396,17,14,0.4666666666666667,0,0.0,0.0,24.7,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,nonparticipants_only,,,10,0,10,0,0,0,0.15318277123708698,0.12294531836332814,0.4161924159781857,0.008826451507443689,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.80000000000003,20.0,0.22779043280182226,3.800000000000002,0.043280182232346254,57.0,0.6492027334851934,0.0,0.0,0.01631146202964903,0.07017543859649122,0.0,0,4,8,22,40,38,57,37,4.800000000000002,0.05466970387243736,2.1999999999999997,0.025056947608200444,24,11,21
