step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
6,B,nonparticipants_only,,,10,0,10,0,0,0,0.1697403584452312,0.14618143867899952,0.502889720389507,0.009643859724048846,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,step_totals,,,,,,,,,,,,,,,,,,,,,80.6000000000001,2.600000000000001,0.032258064516129004,46.0,0.5707196029776669,20.0,0.24813895781637688,0.0,0.0,0.015179846593774592,0.10869565217391304,0.06849315068493161,1,5,6,19,26,46,40,37,6.000000000000003,0.0744416873449131,6.000000000000003,0.0744416873449131,30,30,29
7,B,all_agents,,,40,9,10,21,9,0,0.19921607059210272,0.1630479820309439,0.6574282911074079,0.013753083777364155,75,30,0.75,43,2.302325581395349,1.3255813953488371,33.6,216,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,participants_only,,,30,9,0,21,9,0,0.2087919205062228,0.1790793135239125,0.6574282911074079,0.014875209072663487,75,30,1.0,43,2.302325581395349,1.3255813953488371,28.133333333333333,216,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,nonparticipants_only,,,10,0,10,0,0,0,0.17048852084974253,0.14545053148560452,0.5003752717875595,0.009286345072533123,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.80000000000008,0.9999999999999999,0.011520737327188928,54.0,0.6221198156682022,20.0,0.23041474654377858,0.0,0.0,0.01669755641676112,0.1111111111111111,0.07812500000000008,1,6,7,21,10,54,40,38,5.8000000000000025,0.06682027649769581,6.000000000000003,0.0691244239631336,29,30,31
8,B,all_agents,,,40,11,10,19,11,0,0.2045786734251733,0.16667621507864971,0.6541411496518709,0.014081053864460027,82,30,0.75,47,2.6808510638297873,1.3829787234042554,33.9,247,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,participants_only,,,30,11,0,19,11,0,0.2156952547543087,0.18522355387685702,0.6541411496518709,0.01529843422035686,82,30,1.0,47,2.6808510638297873,1.3829787234042554,28.533333333333335,247,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,nonparticipants_only,,,10,0,10,0,0,0,0.1712289294377672,0.1447232788281765,0.4978733954286217,0.008945972231402154,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,step_totals,,,,,,,,,,,,,,,,,,,,,89.20000000000009,0.2,0.002242152466367711,57.0,0.6390134529147976,20.0,0.2242152466367711,0.0,0.0,0.016055847919108697,0.05263157894736842,0.32786885245901665,4,3,9,26,2,57,40,37,5.8000000000000025,0.06502242152466364,6.200000000000003,0.06950672645739907,29,31,30
