step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
6,D,nonparticipants_only,,,10,0,10,0,0,0,0.18420763318971745,0.1599772349098384,0.46648346863156964,0.01130069103342663,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,D,step_totals,,,,,,,,,,,,,,,,,,,,,80.70000000000006,2.9000000000000012,0.0359355638166047,20.0,0.24783147459727367,48.0,0.5947955390334568,0.0,0.0,0.016261616358355078,0.20833333333333334,0.0,0,10,5,25,29,40,48,40,4.800000000000002,0.0594795539033457,5.000000000000002,0.06195786864931844,24,25,31
7,D,all_agents,,,40,8,10,22,8,0,0.20973773858347802,0.18565459655171784,0.6217045182283207,0.01270986659953455,59,26,0.65,0,0.0,0.0,33.375,222,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,participants_only,,,30,8,0,22,8,0,0.2180231174818782,0.19329788261519087,0.6217045182283207,0.0130428647592671,59,26,0.8666666666666667,0,0.0,0.0,27.833333333333332,222,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,nonparticipants_only,,,10,0,10,0,0,0,0.18488160188827749,0.15917734873528921,0.4641510512884118,0.01088710207845624,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.40000000000006,0.9999999999999999,0.011441647597253995,20.0,0.22883295194507994,56.0,0.6407322654462237,0.0,0.0,0.016890312876914833,0.10714285714285714,0.0,0,6,12,24,10,40,56,37,5.000000000000002,0.057208237986270005,5.400000000000002,0.061784897025171606,25,27,31
8,D,all_agents,,,40,9,10,21,9,0,0.21471722905737145,0.18735232858811726,0.6368363374991879,0.013162121798116808,66,27,0.675,0,0.0,0.0,33.675,252,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,participants_only,,,30,9,0,21,9,0,0.22444091802649896,0.1957906908010087,0.6368363374991879,0.013671510939732394,66,27,0.9,0,0.0,0.0,28.233333333333334,252,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,nonparticipants_only,,,10,0,10,0,0,0,0.18554616214998898,0.15838146199161277,0.46183029603196973,0.010499352847250064,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.50000000000009,0.30000000000000004,0.003428571428571426,20.0,0.22857142857142834,56.0,0.6399999999999993,0.0,0.0,0.015437449432229945,0.125,0.0,0,7,11,30,3,40,56,39,5.000000000000002,0.057142857142857106,6.200000000000003,0.07085714285714283,25,31,33
9,D,all_agents,,,40,8,10,22,8,0,0.21946742138494513,0.19021918449860936,0.6513628839992204,0.013454704607578314,70,28,0.7,0,0.0,0.0,33.45,278,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,participants_only,,,30,8,0,22,8,0,0.23055526836160017,0.19720971817417082,0.6513628839992204,0.01407212978096739,70,28,0.9333333333333333,0,0.0,0.0,27.933333333333334,278,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,nonparticipants_only,,,10,0,10,0,0,0,0.18620388045498004,0.1614013452817452,0.45952114455180987,0.010127144880478462,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,step_totals,,,,,,,,,,,,,,,,,,,,,91.4000000000001,,,20.0,0.21881838074398224,60.0,0.6564551422319467,0.0,0.0,0.014194928007198451,0.06666666666666667,0.0,0,4,12,26,,40,60,38,5.200000000000002,0.0568927789934354,6.200000000000003,0.06783369803063452,26,31,36
10,D,all_agents,,,40,11,10,19,11,0,0.2250012152892228,0.19383767866026863,0.6653083686392516,0.014040168482679985,75,29,0.725,0,0.0,0.0,33.125,315,,,,,,,,,,,,,,,,,,,,,,,,,,,
