seed,condition,topology,peer_learning_enabled,random_seed,agent_initial_states_sha256,participant_ids_sha256,base_graph_sha256,cultural_edge_count,network_density,assortativity_target,assortativity_swap_budget,assortativity_achieved_structured,assortativity_achieved_rewired,assortativity_target_reached,steps,final_state_sha256
4,A,structured,True,4,07eb586fd9158785ad5922c160098412a86fbdf73f7f6199708849da8fc2bb03,103d54a267e0dcb277d28f510c37beec73e5025f9cabdda6444b3914d95df3f8,ef94a13460ce4cab509d8266d0006a46d10796177f8a9dd972bf3ad37a911637,63,0.15384615384615385,0.3,600,0.33795224321829076,-0.12128311059099188,True,156,111768e35d7a6bd79939dadacdb082d179e47d6444faf6a71001358f8a518c88
4,B,rewired,True,4,07eb586fd9158785ad5922c160098412a86fbdf73f7f6199708849da8fc2bb03,103d54a267e0dcb277d28f510c37beec73e5025f9cabdda6444b3914d95df3f8,ba909369ba3c55c99261024c96b2fc2a2c13cd4b6d14478e4333e4812b8d1cf3,70,0.15384615384615385,0.3,600,0.33795224321829076,-0.12128311059099188,True,156,1c4737982fe5368a6a6f94f8ca24a1959169ac5f4a88c52c64d6338856516841
4,C,structured,False,4,07eb586fd9158785ad5922c160098412a86fbdf73f7f6199708849da8fc2bb03,103d54a267e0dcb277d28f510c37beec73e5025f9cabdda6444b3914d95df3f8,ef94a13460ce4cab509d8266d0006a46d10796177f8a9dd972bf3ad37a911637,63,0.15384615384615385,0.3,600,0.33795224321829076,-0.12128311059099188,True,156,240cfef4f19f8ee434c674fb8e774d955021fbbace3d20ad5243e1f816b744dc
4,D,rewired,False,4,07eb586fd9158785ad5922c160098412a86fbdf73f7f6199708849da8fc2bb03,103d54a267e0dcb277d28f510c37beec73e5025f9cabdda6444b3914d95df3f8,ba909369ba3c55c99261024c96b2fc2a2c13cd4b6d14478e4333e4812b8d1cf3,70,0.15384615384615385,0.3,600,0.33795224321829076,-0.12128311059099188,True,156,bb7fc5bb6e5f8b9947370ec34af72aff491d301608f8c109e4045d1fa9962ea1
5,A,structured,True,5,255bd249b0dbfe89edc6e7d0dc043bd110bb85c01ae6a04b11b2849e3a641a5a,f5bb9493f698021b06f846d86d0d04368ee063bfcab360e19ef4557a901fc977,73f960676faa111a29cc55187f51aae30f951db90af196191c1f192809eb4684,66,0.15384615384615385,0.3,600,0.3444363569767426,0.004514109181424791,True,156,25f53b38d456921c673347f3ace41c7cdb0dfa7e1e64ad8ade4d48db82912494
5,B,rewired,True,5,255bd249b0dbfe89edc6e7d0dc043bd110bb85c01ae6a04b11b2849e3a641a5a,f5bb9493f698021b06f846d86d0d04368ee063bfcab360e19ef4557a901fc977,814b833686425ebdd8b7a1563a2760fdfc4145f0d6cee3cf652428959857f395,69,0.15384615384615385,0.3,600,0.3444363569767426,0.004514109181424791,True,156,cbdd2e3bc9907b4ce340a8b4e7ed7297ff32cdd4460ecb23033b79aec92e932e
5,C,structured,False,5,255bd249b0dbfe89edc6e7d0dc043bd110bb85c01ae6a04b11b2849e3a641a5a,f5bb9493f698021b06f846d86d0d04368ee063bfcab360e19ef4557a901fc977,73f960676faa111a29cc55187f51aae30f951db90af196191c1f192809eb4684,66,0.15384615384615385,0.3,600,0.3444363569767426,0.004514109181424791,True,156,703237d36ae9aa09d45cda34101c161f3218353b2069cc2a4aa87084108a9bdd
5,D,rewired,False,5,255bd249b0dbfe89edc6e7d0dc043bd110bb85c01ae6a04b11b2849e3a641a5a,f5bb9493f698021b06f846d86d0d04368ee063bfcab360e19ef4557a901fc977,814b833686425ebdd8b7a1563a2760fdfc4145f0d6cee3cf652428959857f395,69,0.15384615384615385,0.3,600,0.3444363569767426,0.004514109181424791,True,156,c65246e39b02e0a2f69dc5b9252fc361b069e830789e6a8fddd92547254291af
6,A,structured,True,6,89589922194e5cd4de07e5dbd2ad142e97d785ceb5c12176e50e3de34d5e20f3,ccfa0310c2cbd929813d32f34facf88a7f53415faa5bfc38bca72f2e457291d5,fa8cd0a3dc4c07584414d5099e86ccd5d65b269dae023c06a42e9a182f02a4f7,69,0.15384615384615385,0.3,600,0.326739291779917,0.07155366451975242,True,156,14606379a018de4d925c159582276072a1560bf1de9a36f1b45a20888a0fb66a
6,B,rewired,True,6,89589922194e5cd4de07e5dbd2ad142e97d785ceb5c12176e50e3de34d5e20f3,ccfa0310c2cbd929813d32f34facf88a7f53415faa5bfc38bca72f2e457291d5,352dd17bd782f31ba0567cee86ea1fb4cf687f3a4cf03b83129b30800a53472b,67,0.15384615384615385,0.3,600,0.326739291779917,0.07155366451975242,True,156,bf873d07a7ee6f0223c47cffc491a6b0fce5df1be4fcf4b23792773610e33a5b
6,C,structured,False,6,89589922194e5cd4de07e5dbd2ad142e97d785ceb5c12176e50e3de34d5e20f3,ccfa0310c2cbd929813d32f34facf88a7f53415faa5bfc38bca72f2e457291d5,fa8cd0a3dc4c07584414d5099e86ccd5d65b269dae023c06a42e9a182f02a4f7,69,0.15384615384615385,0.3,600,0.326739291779917,0.07155366451975242,True,156,ebb2ec65920bca743eb3e96c780b9105a1031a12c2ad90e62317940a83875df0
6,D,rewired,False,6,89589922194e5cd4de07e5dbd2ad142e97d785ceb5c12176e50e3de34d5e20f3,ccfa0310c2cbd929813d32f34facf88a7f53415faa5bfc38bca72f2e457291d5,352dd17bd782f31ba0567cee86ea1fb4cf687f3a4cf03b83129b30800a53472b,67,0.15384615384615385,0.3,600,0.326739291779917,0.07155366451975242,True,156,08f64ddced4194d9aba50a4d05fcc6d0fe45b3bf3dc9858599b7865550bfe5bc
7,A,structured,True,7,a803962f17447aa7e634437c5520f0a3ca44187f2e5a8f632cb0ba6229c60eb0,2ce7aa2029700bfde5dd368d854a48ad38147ddc2913783bde8f0a611eb70260,fd67df54c6fe3bf022621be1061c3237a3f4f529d78bf7740280ead584bee1a8,70,0.15384615384615385,0.3,600,0.3224099837638965,-0.010014686001651188,True,156,0d748988dc8068e302166bbf6e7bc317ff6e15e8a2c139aec2e59434ce21797d
7,B,rewired,True,7,a803962f17447aa7e634437c5520f0a3ca44187f2e5a8f632cb0ba6229c60eb0,2ce7aa2029700bfde5dd368d854a48ad38147ddc2913783bde8f0a611eb70260,23da7f988d97b01633a8da90a309227282c977d0a7276eb1e6a4221bda5e917a,73,0.15384615384615385,0.3,600,0.3224099837638965,-0.010014686001651188,True,156,b3c1372a53e9e5fc3e007f8062e90847a75d53a9921cc5ef5a047cd4f50d37b1
7,C,structured,False,7,a803962f17447aa7e634437c5520f0a3ca44187f2e5a8f632cb0ba6229c60eb0,2ce7aa2029700bfde5dd368d854a48ad38147ddc2913783bde8f0a611eb70260,fd67df54c6fe3bf022621be1061c3237a3f4f529d78bf7740280ead584bee1a8,70,0.15384615384615385,0.3,600,0.3224099837638965,-0.010014686001651188,True,156,22839f0ed1616d7dda6e0ffb6d8074ad8ce1f50f0a6d84860f7b5ac28ba9eb9e
7,D,rewired,False,7,a803962f17447aa7e634437c5520f0a3ca44187f2e5a8f632cb0ba6229c60eb0,2ce7aa2029700bfde5dd368d854a48ad38147ddc2913783bde8f0a611eb70260,23da7f988d97b01633a8da90a309227282c977d0a7276eb1e6a4221bda5e917a,73,0.15384615384615385,0.3,600,0.3224099837638965,-0.010014686001651188,True,156,b3188be79ee99f942c4b2b444120bec136bd734053f1969d6778998f019316c1
8,A,structured,True,8,069398b3aca237fec97f75035752c772d452945443bf7b1058d3cc96ee891f84,6474a8de80d438f14d5ffa54d06047efe4d2f9a759cf4149bfb07418cc1facf1,b48aafb17d13acc45d4dc551b8b23601ff9f34f3e27a3812e59b23fc35130237,70,0.15384615384615385,0.3,600,0.3062865651377935,0.04410667423133225,True,156,029629aeaa2f7f972a79e69b6cc67f224f553ea2bfd7195f0f9e6a49d484da4e
