seed,condition,topology,peer_learning_enabled,random_seed,agent_initial_states_sha256,participant_ids_sha256,base_graph_sha256,cultural_edge_count,network_density,assortativity_target,assortativity_swap_budget,assortativity_achieved_structured,assortativity_achieved_rewired,assortativity_target_reached,steps,final_state_sha256
3,C,structured,False,3,12a483ac1d84d75286f0b60ebdc58a0f3c1882fcca2bf765787f5f714ebe50e3,453d91cb2e8621aad6dd0dd031476cb4ad84e41474ea26011f87084a044d75d5,8557bc5b31899668e496c8af39b3175ba88f55fa3840e6ecf8194ae4d81fd735,64,0.15384615384615385,0.3,600,0.3405500502405617,-0.0698007135134443,True,156,3d196915eefe04dab28dd5b73be95721f077267708601ca33e984c95a8e952a2
3,D,rewired,False,3,12a483ac1d84d75286f0b60ebdc58a0f3c1882fcca2bf765787f5f714ebe50e3,453d91cb2e8621aad6dd0dd031476cb4ad84e41474ea26011f87084a044d75d5,3be606ea64dd488f2fa7b9ddfb60f4b56f484d01ec3650a8558ad7ca34bcc84b,64,0.15384615384615385,0.3,600,0.3405500502405617,-0.0698007135134443,True,156,cd04531ce710d30be8d674a592366907856eac85d24d1340aa5418163199ff1c
4,A,structured,True,4,07eb586fd9158785ad5922c160098412a86fbdf73f7f6199708849da8fc2bb03,103d54a267e0dcb277d28f510c37beec73e5025f9cabdda6444b3914d95df3f8,ef94a13460ce4cab509d8266d0006a46d10796177f8a9dd972bf3ad37a911637,63,0.15384615384615385,0.3,600,0.33795224321829076,-0.12128311059099188,True,156,111768e35d7a6bd79939dadacdb082d179e47d6444faf6a71001358f8a518c88
4,B,rewired,True,4,07eb586fd9158785ad5922c160098412a86fbdf73f7f6199708849da8fc2bb03,103d54a267e0dcb277d28f510c37beec73e5025f9cabdda6444b3914d95df3f8,ba909369ba3c55c99261024c96b2fc2a2c13cd4b6d14478e4333e4812b8d1cf3,70,0.15384615384615385,0.3,600,0.33795224321829076,-0.12128311059099188,True,156,1c4737982fe5368a6a6f94f8ca24a1959169ac5f4a88c52c64d6338856516841
4,C,structured,False,4,07eb586fd9158785ad5922c160098412a86fbdf73f7f6199708849da8fc2bb03,103d54a267e0dcb277d28f510c37beec73e5025f9cabdda6444b3914d95df3f8,ef94a13460ce4cab509d8266d0006a46d10796177f8a9dd972bf3ad37a911637,63,0.15384615384615385,0.3,600,0.33795224321829076,-0.12128311059099188,True,156,240cfef4f19f8ee434c674fb8e774d955021fbbace3d20ad5243e1f816b744dc
4,D,rewired,False,4,07eb586fd9158785ad5922c160098412a86fbdf73f7f6199708849da8fc2bb03,103d54a267e0dcb277d28f510c37beec73e5025f9cabdda6444b3914d95df3f8,ba909369ba3c55c99261024c96b2fc2a2c13cd4b6d14478e4333e4812b8d1cf3,70,0.15384615384615385,0.3,600,0.33795224321829076,-0.12128311059099188,True,156,bb7fc5bb6e5f8b9947370ec34af72aff491d301608f8c109e4045d1fa9962ea1
5,A,structured,True,5,255bd249b0dbfe89edc6e7d0dc043bd110bb85c01ae6a04b11b2849e3a641a5a,f5bb9493f698021b06f846d86d0d04368ee063bfcab360e19ef4557a901fc977,73f960676faa111a29cc55187f51aae30f951db90af196191c1f192809eb4684,66,0.15384615384615385,0.3,600,0.3444363569767426,0.004514109181424791,True,156,25f53b38d456921c673347f3ace41c7cdb0dfa7e1e64ad8ade4d48db82912494
5,B,rewired,True,5,255bd249b0dbfe89edc6e7d0dc043bd110bb85c01ae6a04b11b2849e3a641a5a,f5bb9493f698021b06f846d86d0d04368ee063bfcab360e19ef4557a901fc977,814b833686425ebdd8b7a1563a2760fdfc4145f0d6cee3cf652428959857f395,69,0.15384615384615385,0.3,600,0.3444363569767426,0.004514109181424791,True,156,cbdd2e3bc9907b4ce340a8b4e7ed7297ff32cdd4460ecb23033b79aec92e932e
5,C,structured,False,5,255bd249b0dbfe89edc6e7d0dc043bd110bb85c01ae6a04b11b2849e3a641a5a,f5bb9493f698021b06f846d86d0d04368ee063bfcab360e19ef4557a901fc977,73f960676faa111a29cc55187f51aae30f951db90af196191c1f192809eb4684,66,0.15384615384615385,0.3,600,0.3444363569767426,0.004514109181424791,True,156,703237d36ae9aa09d45cda34101c161f3218353b2069cc2a4aa87084108a9bdd
5,D,rewired,False,5,255bd249b0dbfe89edc6e7d0dc043bd110bb85c01ae6a04b11b2849e3a641a5a,f5bb9493f698021b06f846d86d0d04368ee063bfcab360e19ef4557a901fc977,814b833686425ebdd8b7a1563a2760fdfc4145f0d6cee3cf652428959857f395,69,0.15384615384615385,0.3,600,0.3444363569767426,0.004514109181424791,True,156,c65246e39b02e0a2f69dc5b9252fc361b069e830789e6a8fddd92547254291af
