step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
0,C,reachability,0.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,19,21,0,0,0.1619022347920243,0.1385246914331097,0.5912058301830839,0.011490901399829785,5,5,0.125,0,0.0,0.0,25.7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,9,21,0,0,0.15031454479455703,0.12350124182784061,0.5912058301830839,0.011052796167217946,5,5,0.16666666666666666,0,0.0,0.0,24.266666666666666,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.19666530478442618,0.1887078588318021,0.5802469307275154,0.011193922383936461,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999997,4.000000000000002,0.04761904761904766,20.0,0.23809523809523817,60.0,0.7142857142857145,0.0,0.0,0.01877224214069165,0.08333333333333333,0.0,0,5,30,14,40,40,60,35,,,,,,,
2,C,all_agents,,,40,1,12,27,1,0,0.167943862735843,0.1440392652399971,0.6075575969757606,0.011327321022603162,11,9,0.225,0,0.0,0.0,26.45,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,1,2,27,1,0,0.15816649759264703,0.12997700750392016,0.6075575969757606,0.011139114586359664,11,9,0.3,0,0.0,0.0,23.6,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.19727595816543092,0.1888922662453903,0.5773456960738779,0.010744777901613054,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.6,4.000000000000002,0.046189376443418036,20.0,0.2309468822170901,59.0,0.6812933025404158,0.0,0.0,0.0182559766962877,0.1016949152542373,0.0,0,6,24,11,40,40,59,34,0.8,0.009237875288683604,2.8000000000000003,0.03233256351039261,4,14,
3,C,all_agents,,,40,2,10,28,2,0,0.17461082536686673,0.15057036817917674,0.6232552930967302,0.011417891839610613,14,10,0.25,0,0.0,0.0,27.775,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,participants_only,,,30,2,0,28,2,0,0.16685526976451306,0.142621021256441,0.6232552930967302,0.011542467269004745,14,10,0.3333333333333333,0,0.0,0.0,23.7,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,nonparticipants_only,,,10,0,10,0,0,0,0.19787749217392772,0.18794780491416335,0.5744589675935085,0.010322381839013831,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.8,4.000000000000002,0.04555808656036449,20.0,0.22779043280182232,59.0,0.6719817767653758,0.0,0.0,0.01970739854566788,0.05084745762711865,0.0,0,3,21,10,40,40,59,34,1.7999999999999998,0.02050113895216401,3.0000000000000004,0.034168564920273356,9,15,
4,C,all_agents,,,40,2,10,28,2,0,0.1798661522376784,0.15377661795846792,0.6201390166312466,0.011408689814549476,16,11,0.275,0,0.0,0.0,29.2,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,participants_only,,,30,2,0,28,2,0,0.1736649471021769,0.14477556313488998,0.6201390166312466,0.011748640455822176,16,11,0.36666666666666664,0,0.0,0.0,23.933333333333334,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,nonparticipants_only,,,10,0,10,0,0,0,0.198469767644183,0.1870080658895925,0.5715866727555409,0.009927378549140529,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.40000000000002,4.000000000000002,0.04629629629629631,20.0,0.23148148148148143,55.0,0.636574074074074,0.0,0.0,0.01626650527886425,0.03636363636363636,0.0,0,2,8,19,40,40,55,40,1.9999999999999998,0.02314814814814814,5.400000000000002,0.06250000000000001,10,27,23
5,C,all_agents,,,40,2,10,28,2,0,0.18509784179746036,0.1608290291106369,0.6170383215480904,0.011280529693802343,22,16,0.4,0,0.0,0.0,31.075,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,participants_only,,,30,2,0,28,2,0,0.18044535072444456,0.14957346123635812,0.6170383215480904,0.011770981586205894,22,16,0.5333333333333333,0,0.0,0.0,24.766666666666666,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,nonparticipants_only,,,10,0,10,0,0,0,0.19905531501650767,0.18607302556014454,0.5687287393917632,0.009549425938377789,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,step_totals,,,,,,,,,,,,,,,,,,,,,85.90000000000003,3.5000000000000018,0.04074505238649593,20.0,0.23282887077997663,54.0,0.6286379511059369,0.0,0.0,0.01637404807316363,0.1111111111111111,0.0,0,6,7,22,35,40,54,39,2.1999999999999997,0.025611175785797427,6.200000000000003,0.07217694994179279,11,31,34
6,C,all_agents,,,40,2,10,28,2,0,0.19005020799230263,0.16120409355659138,0.6323567886861667,0.011196011751094371,24,17,0.425,0,0.0,0.0,31.35,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,participants_only,,,30,2,0,28,2,0,0.18685616977181901,0.1549595593256698,0.6323567886861667,0.011822043473334428,24,17,0.5666666666666667,0,0.0,0.0,25.133333333333333,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,nonparticipants_only,,,10,0,10,0,0,0,0.1996323226537534,0.18514266043234384,0.5658850956948044,0.009195494022527279,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.80000000000007,2.600000000000001,0.029953917050691233,20.0,0.2304147465437786,55.0,0.6336405529953912,0.0,0.0,0.015443974287240007,0.03636363636363636,0.0,0,2,8,27,26,40,55,40,3.2000000000000006,0.03686635944700459,6.000000000000003,0.06912442396313362,16,30,34
7,C,all_agents,,,40,2,10,28,2,0,0.1949397451268499,0.16856009285297924,0.6291950047427359,0.011013330811347075,25,17,0.425,0,0.0,0.0,31.675,194,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,participants_only,,,30,2,0,28,2,0,0.1931851331313867,0.1622742285837951,0.6291950047427359,0.011720585095499699,25,17,0.5666666666666667,0,0.0,0.0,25.566666666666666,194,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,nonparticipants_only,,,10,0,10,0,0,0,0.2002035811132395,0.1842169471301821,0.5630556702163304,0.008854623999833718,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.10000000000007,1.3,0.014755959137343917,20.0,0.22701475595913717,57.0,0.6469920544835409,0.0,0.0,0.015047506611712462,0.017543859649122806,0.0,0,1,14,24,13,40,57,39,3.400000000000001,0.03859250851305333,6.400000000000003,0.07264472190692393,17,32,40
8,C,all_agents,,,40,3,10,27,3,0,0.20048875712232983,0.17612976657347396,0.6440272045530265,0.011117377405009827,30,20,0.5,0,0.0,0.0,32.05,225,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,participants_only,,,30,3,0,27,3,0,0.2003959948762148,0.17279900701995846,0.6440272045530265,0.011978218525797812,30,20,0.6666666666666666,0,0.0,0.0,26.066666666666666,225,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,nonparticipants_only,,,10,0,10,0,0,0,0.200767043860675,0.1832958623945312,0.5602403918652488,0.008534750784634216,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C,step_totals,,,,,,,,,,,,,,,,,,,,,86.80000000000007,0.4,0.0046082949308755726,20.0,0.2304147465437786,57.0,0.656682027649769,0.0,0.0,0.017064318774843112,0.08771929824561403,0.0,0,5,17,29,4,40,57,40,3.400000000000001,0.03917050691244237,6.000000000000003,0.06912442396313362,17,30,34
